"","Region","SurveyName","Species","Common","TrendCategory","Notes","Haul_Inc_Dec","Bio_Inc_Dec"
"301","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Holacanthus bermudensis","Blue angelfish","Persistently Present",NA,NA,NA
"302","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Iliacantha liodactylus",NA,"Persistently Present",NA,"Increasing","Increasing"
"303","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Kathetostoma albigutta","Lancer stargazer","Persistently Present",NA,NA,NA
"304","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Laevicardium mortoni","Yellow eggcockle","Persistently Present",NA,"Increasing",NA
"305","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lagocephalus laevigatus","Smooth puffer","Persistently Present",NA,"Increasing","Increasing"
"306","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lagodon rhomboides","Pinfish","Persistently Present",NA,NA,NA
"307","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Larimus fasciatus","Banded drum","Persistently Present",NA,NA,NA
"308","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Leiolambrus nitidus","White elbow crab","Persistently Present",NA,"Increasing",NA
"309","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Leiostomus xanthurus","Spot","Persistently Present",NA,"Increasing",NA
"310","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lepophidium brevibarbe","Blackedge cusk-eel","Persistently Present",NA,NA,NA
"311","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lepophidium jeannae","Mottled cusk-eel","Persistently Present",NA,NA,NA
"312","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lolliguncula brevis","Atlantic brief squid","Persistently Present",NA,"Decreasing",NA
"313","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia alternata","Banded sea star","Persistently Present",NA,"Decreasing",NA
"314","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia clathrata","Lined sea star","Persistently Present",NA,"Decreasing","Decreasing"
"315","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia lawrencei",NA,"Potentially Emerging","Preliminary trend - under review","Increasing","Increasing"
"316","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus campechanus","Red snapper","Persistently Present",NA,"Increasing",NA
"317","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus griseus","Gray snapper","Persistently Present",NA,NA,NA
"318","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus synagris","Lane snapper","Persistently Present",NA,"Increasing",NA
"319","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lytechinus variegatus","Variegated sea urchin","Persistently Present",NA,"Decreasing",NA
"320","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lytechinus variegatus carolinus",NA,"Sporadic - Primarily Absent",NA,"Increasing",NA
"321","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Menticirrhus americanus","Southern kingfish","Persistently Present",NA,"Increasing",NA
"322","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Metapenaeopsis goodei","Caribbean velvet shrimp","Persistently Present",NA,NA,NA
"323","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Micropogonias undulatus","Atlantic croaker","Persistently Present",NA,"Increasing",NA
"324","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Mithrax pleuracanthus","Shaggy clinging crab","Persistently Present",NA,NA,NA
"325","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Monacanthus ciliatus","Fringed filefish","Persistently Present",NA,NA,NA
"326","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Moreiradromia antillensis","Hairy sponge crab","Persistently Present",NA,NA,NA
"327","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Mullus auratus","Red goatfish","Persistently Present",NA,NA,NA
"328","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Myropsis quinquespinosa","Fivespine purse crab","Persistently Present",NA,"Increasing",NA
"329","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Nicholsina usta","Emerald parrotfish","Persistently Present",NA,NA,"Decreasing"
"330","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Octopus joubini","Atlantic pygmy octopus","Persistently Present","Preliminary trend - under review","Decreasing",NA
"331","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Octopus vulgaris","Common octopus","Persistently Present",NA,"Increasing",NA
"332","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus corniger","Longnose batfish","Persistently Present",NA,NA,NA
"333","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus cubifrons",NA,"Persistently Present","Preliminary trend - under review",NA,NA
"334","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus declivirostris","Slantbrow batfish","Persistently Present",NA,NA,NA
"335","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus pantostictus","Spotted batfish","Persistently Present",NA,NA,NA
"336","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus parvus","Roughback batfish","Persistently Present",NA,NA,NA
"337","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus radiatus","Polka-dot batfish","Potentially Disappearing",NA,"Decreasing","Decreasing"
"338","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophidion antipholus","Longnose cusk-eel","Potentially Emerging","Preliminary trend - under review","Increasing",NA
"339","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophidion holbrookii","Bank cusk-eel","Persistently Present",NA,NA,NA
"340","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophiolepis elegans","Elegant brittle star","Persistently Present",NA,NA,NA
"341","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophiothrix (Ophiothrix) angulata","Angular brittle star","Persistently Present",NA,NA,NA
"342","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Opisthonema oglinum","Atlantic thread herring","Persistently Present",NA,NA,NA
"343","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Orthopristis chrysoptera","Pigfish","Persistently Present",NA,NA,NA
"344","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ovalipes floridanus","Florida lady crab","Persistently Present",NA,NA,NA
"345","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pagrus pagrus","Red porgy","Persistently Present",NA,"Decreasing","Decreasing"
"346","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paguristes sericeus","Blue-eyed hermit","Persistently Present",NA,NA,NA
"347","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paralichthys albigutta","Gulf flounder","Persistently Present",NA,NA,NA
"348","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paralichthys lethostigma","Southern flounder","Persistently Present",NA,"Increasing",NA
"349","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Parapenaeus politus","Rose shrimp","Persistently Present",NA,"Decreasing","Decreasing"
"350","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pareques umbrosus","Cubbyu","Persistently Present",NA,"Decreasing",NA
"351","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus aztecus","Brown shrimp","Persistently Present",NA,NA,NA
"352","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus duorarum","Pink shrimp","Persistently Present",NA,NA,NA
"353","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus setiferus","Northern white shrimp","Persistently Present",NA,NA,NA
"354","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Peprilus burti","Gulf butterfish","Persistently Present",NA,"Decreasing","Decreasing"
"355","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Peprilus paru","Harvestfish","Persistently Present",NA,"Decreasing","Decreasing"
"356","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pitarenus cordatus","Corded pitar","Persistently Present",NA,NA,NA
"357","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Platylambrus granulatus","Bladetooth elbow crab","Persistently Present",NA,"Decreasing",NA
"358","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Polydactylus octonemus","Atlantic threadfin","Sporadic - Primarily Present",NA,NA,NA
"359","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Polystira albida","White giant-turris","Persistently Present",NA,"Decreasing",NA
"360","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Porichthys plectrodon","Atlantic midshipman","Persistently Present",NA,NA,NA
"361","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Priacanthus arenatus","Atlantic bigeye","Persistently Present",NA,"Increasing","Increasing"
"362","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus alatus","Spiny searobin","Persistently Present",NA,"Decreasing",NA
"363","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus longispinosus","Bigeye searobin","Persistently Present",NA,"Decreasing","Decreasing"
"364","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus martis","Gulf of mexico barred searobin","Persistently Present",NA,NA,NA
"365","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus ophryas","Bandtail searobin","Persistently Present",NA,NA,"Decreasing"
"366","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus paralatus","Mexican searobin","Persistently Present",NA,NA,NA
"367","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus roseus","Bluespotted searobin","Persistently Present",NA,"Increasing",NA
"368","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus rubio","Blackwing searobin","Persistently Present",NA,"Increasing","Increasing"
"369","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus scitulus","Leopard searobin","Persistently Present",NA,NA,NA
"370","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus stearnsi","Shortwing searobin","Persistently Present",NA,"Decreasing","Decreasing"
"371","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus tribulus","Bighead searobin","Persistently Present",NA,"Decreasing",NA
"372","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pristigenys alta","Short bigeye","Persistently Present",NA,NA,NA
"373","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pristipomoides aquilonaris","Wenchman","Persistently Present",NA,"Decreasing",NA
"374","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pseudorhombila quadridentata","Flecked squareback crab","Persistently Present",NA,NA,NA
"375","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Raninoides louisianensis","Gulf frog crab","Persistently Present",NA,NA,NA
"376","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Renilla muelleri","Mueller's sea pansy","Persistently Present",NA,NA,NA
"377","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Persistently Present",NA,"Decreasing","Decreasing"
"378","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhomboplites aurorubens","Vermilion snapper","Persistently Present",NA,NA,NA
"379","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhynchoconger flavus","Yellow conger","Persistently Present",NA,NA,NA
"380","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rostroraja eglanteria","Clearnose skate","Persistently Present",NA,"Decreasing","Decreasing"
"381","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rostroraja texana","Roundel skate","Persistently Present",NA,NA,NA
"382","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rypticus maculatus","Whitespotted soapfish","Persistently Present",NA,NA,NA
"383","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sardinella aurita","Spanish sardine","Persistently Present",NA,NA,NA
"384","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Saurida brasiliensis","Largescale lizardfish","Persistently Present",NA,"Decreasing","Decreasing"
"385","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Saurida normani","Shortjaw lizardfish","Persistently Present",NA,"Increasing",NA
"386","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scomberomorus maculatus","Spanish mackerel","Sporadic - Primarily Present",NA,"Decreasing",NA
"387","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena agassizii","Longfin scorpionfish","Persistently Present",NA,NA,NA
"388","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena brasiliensis","Barbfish","Persistently Present",NA,NA,NA
"389","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena calcarata","Smoothhead scorpionfish","Persistently Present",NA,"Increasing",NA
"390","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scyllarides nodifer","Ridged slipper lobster","Persistently Present",NA,"Decreasing","Decreasing"
"391","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scyllarus chacei","Chace slipper lobster","Persistently Present",NA,NA,NA
"392","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Selene setapinnis","Atlantic moonfish","Persistently Present",NA,NA,NA
"393","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus atrobranchus","Blackear bass","Persistently Present",NA,NA,NA
"394","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus notospilus","Saddle bass","Persistently Present",NA,NA,NA
"395","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus phoebe","Tattler","Persistently Present",NA,"Decreasing","Decreasing"
"396","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sicyonia brevirostris","Brown rock shrimp","Persistently Present",NA,"Decreasing","Decreasing"
"397","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sicyonia dorsalis","Lesser rock shrimp","Persistently Present",NA,"Decreasing","Decreasing"
"398","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Solenocera atlantidis","Dwarf humpback shrimp","Persistently Present",NA,NA,NA
"399","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Solenocera vioscai","Humpback shrimp","Persistently Present",NA,NA,NA
"400","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides dorsalis","Marbled puffer","Persistently Present",NA,NA,NA
"401","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides parvus","Least puffer","Persistently Present",NA,NA,NA
"402","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides spengleri","Bandtail puffer","Persistently Present",NA,NA,NA
"403","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla chydaea","Offshore mantis shrimp","Persistently Present",NA,NA,NA
"404","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla empusa","Mantis shrimp","Persistently Present",NA,"Decreasing",NA
"405","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla rugosa","Mantis shrimp","Persistently Present",NA,"Increasing","Increasing"
"406","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stellifer lanceolatus","Star drum","Persistently Present",NA,NA,NA
"407","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenocionops coelatus",NA,"Persistently Present",NA,"Increasing",NA
"408","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenocionops furcatus","Furcate spider crab","Persistently Present",NA,"Decreasing",NA
"409","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenorhynchus seticornis","Yellowline arrow crab","Persistently Present",NA,NA,NA
"410","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenorhynchus yangi","Red arrow crab","Potentially Emerging","Preliminary trend - under review","Increasing","Increasing"
"411","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenotomus caprinus","Longspine porgy","Persistently Present",NA,"Decreasing","Decreasing"
"412","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stephanolepis hispida","Planehead filefish","Persistently Present",NA,NA,NA
"413","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stylocidaris affinis","Pencil urchin","Persistently Present",NA,"Decreasing","Decreasing"
"414","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Syacium gunteri","Shoal flounder","Persistently Present",NA,"Increasing",NA
"415","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Syacium papillosum","Dusky flounder","Persistently Present",NA,NA,NA
"416","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Symphurus diomedeanus","Spottedfin tonguefish","Persistently Present",NA,NA,NA
"417","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Symphurus plagiusa","Blackcheek tonguefish","Persistently Present",NA,"Decreasing",NA
"418","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus foetens","Inshore lizardfish","Persistently Present",NA,"Increasing",NA
"419","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus intermedius","Sand diver","Persistently Present",NA,NA,NA
"420","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus macrostigmus","Largespot lizardfish","Emerged","Preliminary trend - under review",NA,NA
"421","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus poeyi","Offshore lizardfish","Persistently Present",NA,NA,NA
"422","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Trachinocephalus myops","Snakefish","Persistently Present",NA,"Increasing",NA
"423","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Trachurus lathami","Rough scad","Persistently Present",NA,"Decreasing",NA
"424","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Trichiurus lepturus","Atlantic cutlassfish","Persistently Present",NA,NA,NA
"425","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Trichopsetta ventralis","Sash flounder","Persistently Present",NA,NA,NA
"426","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Upeneus parvus","Dwarf goatfish","Persistently Present",NA,"Increasing",NA
"427","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Urophycis cirrata","Gulf hake","Persistently Present",NA,"Decreasing","Decreasing"
"428","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Urophycis floridana","Southern hake","Persistently Present",NA,"Decreasing","Decreasing"
"429","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Xyrichtys novacula","Pearly razorfish","Persistently Present",NA,"Increasing",NA
"430","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Aphareus rutilans","Lehi","Persistently Present",NA,NA,NA
"431","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Etelis carbunculus","Ehu","Persistently Present",NA,NA,NA
"432","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Etelis coruscans","Onaga","Persistently Present",NA,NA,NA
"433","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Hyporthodus quernus","Hapu'upu'u","Persistently Present",NA,NA,NA
"434","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Pristipomoides filamentosus","Opakapaka","Persistently Present",NA,NA,NA
"435","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Pristipomoides sieboldii","Kalekale","Persistently Present",NA,"Decreasing",NA
"436","Hawai'i Islands","Bottomfish Fishery-Independent Survey in Hawaii (BFISH)","Pristipomoides zonatus","Gindai","Persistently Present",NA,NA,NA
"437","Northeast US","NEFSC Fall Bottom Trawl","Alosa aestivalis","Blueback herring","Persistently Present",NA,"Decreasing",NA
"438","Northeast US","NEFSC Fall Bottom Trawl","Alosa pseudoharengus","Alewife","Persistently Present",NA,NA,NA
"439","Northeast US","NEFSC Fall Bottom Trawl","Alosa sapidissima","American shad","Persistently Present",NA,NA,NA
"440","Northeast US","NEFSC Fall Bottom Trawl","Amblyraja radiata","Thorny skate","Persistently Present",NA,"Decreasing","Decreasing"
"441","Northeast US","NEFSC Fall Bottom Trawl","Ammodytes dubius","Northern sand lance","Persistently Present",NA,NA,NA
"442","Northeast US","NEFSC Fall Bottom Trawl","Anarhichas lupus","Atlantic wolffish","Sporadic - Primarily Present",NA,"Decreasing",NA
"443","Northeast US","NEFSC Fall Bottom Trawl","Anchoa hepsetus","Striped anchovy","Persistently Present",NA,"Increasing",NA
"444","Northeast US","NEFSC Fall Bottom Trawl","Anchoa mitchilli","Bay anchovy","Persistently Present",NA,"Increasing",NA
"445","Northeast US","NEFSC Fall Bottom Trawl","Antigonia capros","Deepbody boarfish","Emerged",NA,NA,NA
"446","Northeast US","NEFSC Fall Bottom Trawl","Ariomma bondi","Silver rag driftfish","Emerged",NA,"Increasing",NA
"447","Northeast US","NEFSC Fall Bottom Trawl","Aspidophoroides monopterygius","Alligatorfish","Emerged",NA,"Decreasing",NA
"448","Northeast US","NEFSC Fall Bottom Trawl","Atlantopandalus propinqvus","Similar shrimp","Emerged",NA,NA,"Decreasing"
"449","Northeast US","NEFSC Fall Bottom Trawl","Bathypolypus arcticus","North atlantic octopus","Emerged",NA,"Decreasing",NA
"450","Northeast US","NEFSC Fall Bottom Trawl","Bathytoshia centroura","Roughtail stingray","Persistently Present",NA,"Decreasing","Decreasing"
"451","Northeast US","NEFSC Fall Bottom Trawl","Brosme brosme","Cusk","Persistently Present",NA,NA,NA
"452","Northeast US","NEFSC Fall Bottom Trawl","Cancer borealis","Jonah crab","Persistently Present",NA,NA,NA
"453","Northeast US","NEFSC Fall Bottom Trawl","Cancer irroratus","Atlantic rock crab","Persistently Present",NA,NA,NA
"454","Northeast US","NEFSC Fall Bottom Trawl","Caranx crysos","Blue runner","Emerged",NA,NA,NA
"455","Northeast US","NEFSC Fall Bottom Trawl","Centropristis striata","Black sea bass","Persistently Present",NA,"Increasing",NA
"456","Northeast US","NEFSC Fall Bottom Trawl","Chaceon quinquedens","Red deepsea crab","Persistently Present",NA,"Increasing","Increasing"
"457","Northeast US","NEFSC Fall Bottom Trawl","Chlorophthalmus agassizi","Shortnose greeneye","Emerged",NA,NA,NA
"458","Northeast US","NEFSC Fall Bottom Trawl","Citharichthys arctifrons","Gulf stream flounder","Persistently Present",NA,NA,NA
"459","Northeast US","NEFSC Fall Bottom Trawl","Clupea harengus","Atlantic herring","Persistently Present",NA,"Decreasing",NA
"460","Northeast US","NEFSC Fall Bottom Trawl","Cryptacanthodes maculatus","Wrymouth","Persistently Present",NA,NA,NA
"461","Northeast US","NEFSC Fall Bottom Trawl","Cynoscion regalis","Weakfish","Persistently Present",NA,"Increasing",NA
"462","Northeast US","NEFSC Fall Bottom Trawl","Decapterus punctatus","Round scad","Sporadic - Primarily Present",NA,"Increasing",NA
"463","Northeast US","NEFSC Fall Bottom Trawl","Dichelopandalus leptocerus","Bristled longbeak","Emerged",NA,"Decreasing",NA
"464","Northeast US","NEFSC Fall Bottom Trawl","Dipturus laevis","Barndoor skate","Persistently Present",NA,NA,NA
"465","Northeast US","NEFSC Fall Bottom Trawl","Doryteuthis pealeii","Longfin inshore squid","Persistently Present",NA,NA,NA
"466","Northeast US","NEFSC Fall Bottom Trawl","Enchelyopus cimbrius","Fourbeard rockling","Persistently Present",NA,"Decreasing","Decreasing"
"467","Northeast US","NEFSC Fall Bottom Trawl","Etrumeus sadina","Round herring","Persistently Present",NA,"Decreasing",NA
"468","Northeast US","NEFSC Fall Bottom Trawl","Gadus morhua","Atlantic cod","Persistently Present",NA,"Decreasing",NA
"469","Northeast US","NEFSC Fall Bottom Trawl","Glyptocephalus cynoglossus","Witch flounder","Persistently Present",NA,"Decreasing",NA
"470","Northeast US","NEFSC Fall Bottom Trawl","Helicolenus dactylopterus","Blackbelly rosefish","Persistently Present",NA,NA,NA
"471","Northeast US","NEFSC Fall Bottom Trawl","Hemitripterus americanus","Sea raven","Persistently Present",NA,"Decreasing",NA
"472","Northeast US","NEFSC Fall Bottom Trawl","Hippoglossina oblonga","American fourspot flounder","Persistently Present",NA,NA,"Decreasing"
"473","Northeast US","NEFSC Fall Bottom Trawl","Hippoglossoides platessoides","American plaice","Persistently Present",NA,"Decreasing",NA
"474","Northeast US","NEFSC Fall Bottom Trawl","Hippoglossus hippoglossus","Atlantic halibut","Persistently Present",NA,NA,NA
"475","Northeast US","NEFSC Fall Bottom Trawl","Homarus americanus","American lobster","Persistently Present",NA,NA,NA
"476","Northeast US","NEFSC Fall Bottom Trawl","Hypanus say","Bluntnose stingray","Persistently Present",NA,NA,NA
"477","Northeast US","NEFSC Fall Bottom Trawl","Illex illecebrosus","Northern shortfin squid","Persistently Present",NA,"Decreasing",NA
"478","Northeast US","NEFSC Fall Bottom Trawl","Larimus fasciatus","Banded drum","Emerged",NA,"Increasing","Increasing"
"479","Northeast US","NEFSC Fall Bottom Trawl","Leiostomus xanthurus","Spot","Persistently Present",NA,"Increasing","Increasing"
"480","Northeast US","NEFSC Fall Bottom Trawl","Lepophidium profundorum","Fawn cusk-eel","Persistently Present",NA,NA,"Decreasing"
"481","Northeast US","NEFSC Fall Bottom Trawl","Leucoraja erinaceus","Little skate","Persistently Present",NA,NA,"Decreasing"
"482","Northeast US","NEFSC Fall Bottom Trawl","Leucoraja garmani","Rosette skate","Persistently Present",NA,NA,NA
"483","Northeast US","NEFSC Fall Bottom Trawl","Leucoraja ocellata","Winter skate","Persistently Present",NA,NA,NA
"484","Northeast US","NEFSC Fall Bottom Trawl","Limulus polyphemus","Horseshoe crab","Persistently Present",NA,NA,NA
"485","Northeast US","NEFSC Fall Bottom Trawl","Lithodes maja","Norway king crab","Emerged",NA,"Decreasing",NA
"486","Northeast US","NEFSC Fall Bottom Trawl","Lophius americanus","Monkfish","Persistently Present",NA,"Decreasing",NA
"487","Northeast US","NEFSC Fall Bottom Trawl","Malacoraja senta","Smooth skate","Persistently Present",NA,NA,NA
"488","Northeast US","NEFSC Fall Bottom Trawl","Maurolicus weitzmani","Atlantic pearlside","Sporadic - Primarily Present",NA,"Decreasing",NA
