survey_name,accepted_name,common,kingdom,phylum,class,order,family,genus,rank,worms_id,SpecCode,filtercat,,,,,,,
Corythoichthys albirostris,Cosmocampus albirostris,Whitenose pipefish,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Corythoichthys,Species,278055,3280,Species,,,,,,,
Cosmocampus albirostris,Cosmocampus albirostris,Whitenose pipefish,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Corythoichthys,Species,278055,3280,Species,,,,,,,
Anachis floridana,Costoanachis floridana,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Anachis,Species,419993,NA,Species,,,,,,,
Costoanachis floridana,Costoanachis floridana,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Anachis,Species,419993,NA,Species,,,,,,,
Cottidae,Cottidae,Sculpins,Animalia,Chordata,Teleostei,Perciformes,Cottidae,NA,Family,125589,NA,remove,,,,,,,
Cranchia scabra,Cranchia scabra,Rough cranch squid,Animalia,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Cranchia,Species,181386,NA,Species,,,,,,,
Cranchiidae,Cranchiidae,Glass squids,Animalia,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,NA,Family,11774,NA,remove,,,,,,,
Crangon,Crangon,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Genus,107007,NA,remove,,,,,,,
Crangon sp.,Crangon,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Genus,107007,NA,remove,,,,,,,
Crangon alaskensis,Crangon alaskensis,Alaska shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Species,515542,NA,Species,,,,,,,
Crangon dalli,Crangon dalli,Ridged crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Species,254486,NA,Species,,,,,,,
Crangon franciscorum,Crangon franciscorum,California bay shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Species,241261,NA,Species,,,,,,,
Crangon septemspinosa,Crangon septemspinosa,Sevenspine bay shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Species,158355,NA,Species,,,,,,,
Crangonidae,Crangonidae,Crangonid shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,NA,Family,106782,NA,remove,,,,,,,
Craniella,Craniella,puffball sponges,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Genus,132093,NA,remove,,,,,,,
Craniella sp.,Craniella,puffball sponges,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Genus,132093,NA,remove,,,,,,,
Craniella arb,Craniella arb,NA,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,171324,NA,Species,,,,,,,
Craniella craniana,Craniella craniana,Baseball sponge,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,171329,NA,Species,,,,,,,
Craniella sigmoancoratum,Craniella sigmoancoratum,Spiny ball sponge,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,293251,NA,Species,,,,,,,
Craniella sp. B,Craniella sp. B,knobby ball sponge,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Craniella spinosa,Craniella spinosa,Spiny tennis ball sponge,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,171352,NA,Species,,,,,,,
Craniella sputnika,Craniella sputnika,Spiky ball sponge,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,559368,NA,Species,,,,,,,
Craniella villosa,Craniella villosa,Tennis ball sponge,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Species,171357,NA,Species,,,,,,,
Crassadoma gigantea,Crassadoma gigantea,Giant rock-scallop,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,Species,240774,NA,Species,,,,,,,
Crassatellidae,Crassatellidae,NA,Animalia,Mollusca,Bivalvia,Carditida,Crassatellidae,NA,Family,23013,NA,remove,,,,,,,
Cyclocardia crassidens,Crassicardia crassidens,Thick cyclocardia,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,1420848,NA,Species,,,,,,,
Crassicardia crassidens,Crassicardia crassidens,Thick cyclocardia,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,1420848,NA,Species,,,,,,,
Cyclocardia crebricostata,Crassicardia crebricostata,Many rib cyclocardia,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,1514455,NA,Species,,,,,,,
Crassicardia crebricostata,Crassicardia crebricostata,Many rib cyclocardia,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,1514455,NA,Species,,,,,,,
Crella brunnea,Crella brunnea,NA,Animalia,Porifera,Demospongiae,Poecilosclerida,Crellidae,Crella,Species,131936,NA,remove,,,,,,,
Crepidula,Crepidula,slipper shell,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Genus,137722,NA,remove,,,,,,,
Crepidula sp.,Crepidula,slipper shell,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Genus,137722,NA,remove,,,,,,,
Crepidula convexa,Crepidula convexa,Convex slippersnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Species,160228,NA,Species,,,,,,,
Crepidula fornicata,Crepidula fornicata,Slipper limpet,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Species,138963,NA,Species,,,,,,,
Crepidula maculosa,Crepidula maculosa,Spotted slippersnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Species,419704,NA,Species,,,,,,,
Crepidula plana,Crepidula plana,Eastern white slippersnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Species,160230,NA,Species,,,,,,,
Cribrinopsis,Cribrinopsis,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Cribrinopsis,Genus,100702,NA,remove,,,,,,,
Cribrinopsis sp.,Cribrinopsis,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Cribrinopsis,Genus,100702,NA,remove,,,,,,,
Cribrinopsis fernaldi,Cribrinopsis fernaldi,Chevron tentacle anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Cribrinopsis,Species,283422,NA,Species,,,,,,,
Crinoidea,Crinoidea,Sea lilies and feather stars,Animalia,Echinodermata,Crinoidea,NA,NA,NA,Class,123081,NA,remove,,,,,,,
Crispatotrochus foxi,Crispatotrochus foxi,Cup coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,Species,289737,NA,Species,,,,,,,
Bugula pacifica,Crisularia pacifica,NA,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Species,834038,NA,Species,,,,,,,
Crisularia pacifica,Crisularia pacifica,NA,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Species,834038,NA,Species,,,,,,,
Cronius ruber,Cronius ruber,Red swimcrab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Cronius,Species,241109,NA,Species,,,,,,,
Crossaster,Crossaster,NA,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,Genus,123336,NA,remove,,,,,,,
Crossaster sp.,Crossaster,NA,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,Genus,123336,NA,remove,,,,,,,
Crossaster borealis,Crossaster borealis,Grooved sun star,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,Species,292707,NA,Species,,,,,,,
Crossaster papposus,Crossaster papposus,Common sunstar,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,Species,124154,NA,Species,,,,,,,
Crossaster sp. A (Clark),Crossaster sp. A (Clark),white rose star,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Crossaster sp. B (Clark),Crossaster sp. B (Clark),pink rose star,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Crossata californica,Crossata californica,California frogsnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Bursidae,Crossata,Species,580701,NA,Species,,,,,,,
Crustacea,Crustacea,Crustaceans,Animalia,Arthropoda,NA,NA,NA,NA,Subphylum,1066,NA,remove,,,,,,,
Crustacea(infraorder),Crustacea,Crustaceans,Animalia,Arthropoda,NA,NA,NA,NA,Subphylum,1066,NA,remove,,,,,,,
Crustacea(infraorder) anomura,Crustacea,Crustaceans,Animalia,Arthropoda,NA,NA,NA,NA,Subphylum,1066,NA,remove,,,,,,,
Crustaceans,Crustacea,Crustaceans,Animalia,Arthropoda,NA,NA,NA,NA,Subphylum,1066,NA,remove,,,,,,,
Crustacea shrimp,Crustacea shrimp,Crustacean shrimp,Animalia,Arthropoda,NA,NA,NA,NA,Subphylum,1066,NA,remove,,,,,,,
Cryogorgia koolsae,Cryogorgia koolsae,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Cryogorgia,Species,289747,NA,Species,,,,,,,
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,Dwarf wrymouth,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,Species,276390,3817,Species,,,,,,,
Cryptacanthodes giganteus,Cryptacanthodes giganteus,Giant wrymouth,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,Species,276392,54155,Species,,,,,,,
Cryptacanthodes maculatus,Cryptacanthodes maculatus,Wrymouth,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,Species,159675,3815,Species,,,,,,,
Cryptacanthodidae,Cryptacanthodidae,Wrymouths,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,NA,Family,151391,NA,remove,,,,,,,
Crypthelia,Crypthelia,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Crypthelia,Genus,117241,NA,remove,,,,,,,
Crypthelia sp.,Crypthelia,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Crypthelia,Genus,117241,NA,remove,,,,,,,
Crypthelia trophostega,Crypthelia trophostega,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Crypthelia,Species,285799,NA,Species,,,,,,,
Cryptochiton stelleri,Cryptochiton stelleri,Giant pacific chiton,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,240776,NA,Species,,,,,,,
Cryptolithodes,Cryptolithodes,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,Genus,550614,NA,remove,,,,,,,
Cryptolithodes sp.,Cryptolithodes,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,Genus,550614,NA,remove,,,,,,,
Cryptolithodes typica,Cryptolithodes typicus,Butterfly king crab,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,Species,550617,NA,Species,,,,,,,
Cryptolithodes typicus,Cryptolithodes typicus,Butterfly king crab,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,Species,550617,NA,Species,,,,,,,
Cryptomonadaceae,Cryptomonadaceae,NA,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,NA,Family,17644,NA,remove,,,,,,,
Cryptonatica,Cryptonatica,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Genus,138238,NA,remove,,,,,,,
Cryptonatica sp.,Cryptonatica,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Genus,138238,NA,remove,,,,,,,
Cryptonatica affinis,Cryptonatica affinis,Arctic moonsnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Species,140525,NA,Species,,,,,,,
Natica clausa,Cryptonatica affinis,Arctic moonsnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Species,140525,NA,Species,,,,,,,
Cryptonatica aleutica,Cryptonatica aleutica,Aleutian moonsnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Species,576533,NA,Species,,,,,,,
Cryptonatica russa,Cryptonatica russa,Russty moonsnail,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,Species,580692,NA,Species,,,,,,,
Cryptopsaras couesii,Cryptopsaras couesii,Triplewart seadevil,Animalia,Chordata,Teleostei,Lophiiformes,Ceratiidae,Cryptopsaras,Species,126538,3098,Species,,,,,,,
Cycloes bairdii,Cryptosoma bairdii,Shameface heart crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Cyclois,Species,440316,NA,Species,,,,,,,
Cryptosoma bairdii,Cryptosoma bairdii,Shameface heart crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Cyclois,Species,440316,NA,Species,,,,,,,
Cryptotomus roseus,Cryptotomus roseus,Bluelip parrotfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Cryptotomus,Species,277118,3674,Species,,,,,,,
Crystallichthys cyclospilus,Crystallichthys cyclospilus,Blotched snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Crystallichthys,Species,280451,4180,Species,,,,,,,
Ctenodiscus,Ctenodiscus,NA,Animalia,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,Genus,123258,NA,remove,,,,,,,
Ctenodiscus sp.,Ctenodiscus,NA,Animalia,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,Genus,123258,NA,remove,,,,,,,
Ctenodiscus crispatus,Ctenodiscus crispatus,Mud star,Animalia,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,Species,123915,NA,Species,,,,,,,
Parthenope serrata,Ctenodrilus serratus,Sawtooth elbow crab,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Parthenope,Species,129989,NA,Species,,,,,,,
Gobionellus boleosoma,Ctenogobius boleosoma,Darter goby,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Gobionellus,Species,159750,3858,Species,,,,,,,
Ctenogobius boleosoma,Ctenogobius boleosoma,Darter goby,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Gobionellus,Species,159750,3858,Species,,,,,,,
Ctenoides,Ctenoides,NA,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,Genus,390579,NA,remove,,,,,,,
Ctenophora,Ctenophora,Comb jellies,Animalia,Ctenophora,NA,NA,NA,NA,Phylum,1248,NA,remove,,,,,,,
Periclimenes americanus,Cuapetes americanus,American grass shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,Species,514508,NA,Species,,,,,,,
Periclimenes bermudensis,Cuapetes americanus,American grass shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,Species,514508,NA,Species,,,,,,,
Cubiceps,Cubiceps,NA,Animalia,Chordata,Teleostei,Scombriformes,Nomeidae,Cubiceps,Genus,126037,NA,remove,,,,,,,
Cubiceps pauciradiatus,Cubiceps pauciradiatus,Bigeye cigarfish,Animalia,Chordata,Teleostei,Scombriformes,Nomeidae,Cubiceps,Species,159424,5049,Species,,,,,,,
Cubomedusae,Cubozoa,NA,Animalia,Cnidaria,NA,Cubomedusae,NA,NA,Order,135219,NA,remove,,,,,,,
Cucumaria,Cucumaria,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Genus,123479,NA,remove,,,,,,,
Cucumaria sp.,Cucumaria,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Genus,123479,NA,remove,,,,,,,
Cucumaria fallax,Cucumaria fallax,Sea football,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Species,528995,NA,Species,,,,,,,
Cucumaria frondosa,Cucumaria frondosa,Orange footed sea cucumber,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Species,124612,NA,Species,,,,,,,
Cucumaria japonica,Cucumaria frondosa japonica,Black sea cucumber,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Species,529406,NA,Species,,,,,,,
Cucumaria frondosa japonica,Cucumaria frondosa japonica,Black sea cucumber,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Species,529406,NA,Species,,,,,,,
Cucumariidae,Cucumariidae,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,NA,Family,123187,NA,remove,,,,,,,
Cumacea,Cumacea,cumacean unid.,NA,NA,NA,NA,NA,NA,Order,1137,NA,remove,,,,,,,
Cyanea,Cyanea,NA,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Genus,135259,NA,remove,,,,,,,
Cyanea sp.,Cyanea,NA,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Genus,135259,NA,remove,,,,,,,
Cyanea capillata,Cyanea capillata,Lion's mane,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Species,135301,NA,Species,,,,,,,
Cyclocardia,Cyclocardia,NA,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Genus,156830,NA,remove,,,,,,,
Cyclocardia sp.,Cyclocardia,NA,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Genus,156830,NA,remove,,,,,,,
Cyclocardia borealis,Cyclocardia borealis,NA,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,156832,NA,Species,,,,,,,
Cyclocardia ovata,Cyclocardia ovata,Ovate cyclocardia,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Species,504902,NA,Species,,,,,,,
Cyclocardia sp. cf. borealis (Clark 2006),Cyclocardia sp. cf. borealis (Clark 2006),northern carditid,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Cyclohelia,Cyclohelia,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Cyclohelia,Genus,267361,NA,remove,,,,,,,
Cyclohelia sp.,Cyclohelia,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Cyclohelia,Genus,267361,NA,remove,,,,,,,
Cyclohelia lamellata,Cyclohelia lamellata,NA,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Cyclohelia,Species,289768,NA,Species,,,,,,,
Cyclopecten,Cyclopecten,NA,Animalia,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Cyclopecten,Genus,138317,NA,remove,,,,,,,
Cyclopecten sp.,Cyclopecten,NA,Animalia,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Cyclopecten,Genus,138317,NA,remove,,,,,,,
Cyclopecten davidsoni,Cyclopecten davidsoni,Salmon glass-scallop,Animalia,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Cyclopecten,Species,391712,NA,Species,,,,,,,
Cyclopsetta,Cyclopsetta,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Cyclopsetta,Genus,158794,NA,remove,,,,,,,
Cyclopsetta chittendeni,Cyclopsetta chittendeni,Mexican flounder,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Cyclopsetta,Species,275700,979,Species,,,,,,,
Cyclopsetta fimbriata,Cyclopsetta fimbriata,Spotfin flounder,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Cyclopsetta,Species,158795,4219,Species,,,,,,,
Cyclopteridae,Cyclopteridae,Lumpfishes,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,NA,Family,125590,NA,remove,,,,,,,
Cyclopterinae,Cyclopterinae,NA,NA,NA,NA,NA,NA,NA,HigherOrder,NA,NA,remove,,,,,,,
Cyclopterus lumpus,Cyclopterus lumpus,Lumpfish,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus,Species,127214,62,Species,,,,,,,
Cyclothone,Cyclothone,NA,Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,Genus,126187,NA,remove,,,,,,,
Cyclothone sp.,Cyclothone,NA,Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,Genus,126187,NA,remove,,,,,,,
Cyclothone acclinidens,Cyclothone acclinidens,Benttooth bristlemouth,Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,Species,127282,5116,Species,,,,,,,
Cyclothone atraria,Cyclothone atraria,Deep water bristlemouth,Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,Species,274943,7384,Species,,,,,,,
Calappa angusta,Cyclozodion angustum,Nodose box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Cyclozodion,Species,421921,NA,Species,,,,,,,
Cyclozodion tuberatum,Cyclozodion tuberatum,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Cyclozodion,Species,421922,NA,Species,,,,,,,
Cylichna alba,Cylichna alba,White cylichna,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,Species,139474,NA,Species,,,,,,,
Cymatium,Cymatium,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,Cymatium,Genus,138426,NA,remove,,,,,,,
Cymatium rubeculum-occidentale,Cymatium rubeculum occidentale,Ruby triton,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,Cymatium,Species,138426,NA,Species,,,,,,,
Cymatogaster aggregata,Cymatogaster aggregata,Shiner perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,Species,280461,3626,Species,,,,,,,
Cymothoa,Cymothoa,NA,Animalia,Arthropoda,Malacostraca,Isopoda,Cymothoidae,Cymothoa,Genus,118409,NA,remove,,,,,,,
Cymothoidae,Cymothoidae,NA,Animalia,Arthropoda,Malacostraca,Isopoda,Cymothoidae,NA,Family,118274,NA,remove,,,,,,,
Cynoglossidae,Cynoglossidae,Tonguefishes,Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,NA,Family,125578,NA,remove,,,,,,,
Cynoscion,Cynoscion,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Genus,159304,NA,remove,,,,,,,
Cynoscion arenarius/nothus,Cynoscion,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Genus,159304,NA,remove,,,,,,,
Cynoscion arenarius,Cynoscion arenarius,Sand weakfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Species,276077,1170,Species,,,,,,,
Cynoscion nebulosus,Cynoscion nebulosus,Spotted weakfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Species,159312,405,Species,,,,,,,
Cynoscion nothus,Cynoscion nothus,Silver seatrout,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Species,159305,1175,Species,,,,,,,
Cynoscion regalis,Cynoscion regalis,Weakfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Species,159313,406,Species,,,,,,,
Cyphoma,Cyphoma,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Cyphoma,Genus,394147,NA,remove,,,,,,,
Cyphoma mcgintyi,Cyphoma mcgintyi,Purple flamingo tongue,Animalia,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Cyphoma,Species,419729,NA,Species,,,,,,,
Cypraea,Cypraea,Cowries,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Cypraea,Genus,205978,NA,remove,,,,,,,
Cypraeidae,Cypraeidae,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,NA,Family,23022,NA,remove,,,,,,,
Cypselurus,Cypselurus,NA,Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,Cypselurus,Genus,206252,NA,remove,,,,,,,
Cystisoma fabricii,Cystisoma fabricii,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Cystisomatidae,Cystisoma,Species,103243,NA,Species,,,,,,,
Cyttopsis rosea,Cyttopsis rosea,Rosy dory,Animalia,Chordata,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Species,127425,4953,Species,,,,,,,
Dactylopterus volitans,Dactylopterus volitans,Flying gurnard,Animalia,Chordata,Teleostei,Dactylopteriformes,Dactylopteridae,Dactylopterus,Species,127232,1021,Species,,,,,,,
Danielum ixbauchac,Danielum ixbauchac,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,Danielum,Species,422092,NA,Species,,,,,,,
Dardanus,Dardanus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus,Genus,106842,NA,remove,,,,,,,
Dardanus fucosus,Dardanus fucosus,Bareye hermit,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus,Species,367581,NA,Species,,,,,,,
Dardanus insignis,Dardanus insignis,Red brocade hermit,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus,Species,367585,NA,Species,,,,,,,
Dardanus venosus,Dardanus venosus,Stareye hermit,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus,Species,367596,NA,Species,,,,,,,
Dasyatidae,Dasyatidae,Sting rays,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,NA,Family,105708,NA,remove,,,,,,,
Dasycottus setiger,Dasycottus setiger,Spinyhead sculpin,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Dasycottus,Species,280488,4085,Species,,,,,,,
Callianassa latispina,Dawsonius latispinus,Broadspine ghost shrimpg,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,Species,421828,NA,Species,,,,,,,
Dawnsonius latispinus,Dawsonius latispinus,Broadspine ghost shrimpg,Animalia,Arthropoda,Malacostraca,Decapoda,Ctenochelidae,Dawsonius,Species,421828,NA,Species,,,,,,,
Decapoda,Decapoda,Ten footed,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,Order,1130,NA,remove,,,,,,,
Decapodiformes,Decapodiformes,Squid unid.,Animalia,Mollusca,Cephalopoda,NA,NA,NA,SuperOrder,325342,NA,remove,,,,,,,
Decapodiform,Decapodiformes,Squid unid.,Animalia,Mollusca,Cephalopoda,NA,NA,NA,SuperOrder,325342,NA,remove,,,,,,,
Decapterus,Decapterus,NA,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Genus,125937,NA,remove,,,,,,,
Decapterus macarellus,Decapterus macarellus,Mackerel scad,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Species,126807,993,Species,,,,,,,
Decapterus punctatus,Decapterus punctatus,Round scad,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Species,126808,994,Species,,,,,,,
Decapterus tabl,Decapterus tabl,Roughear scad,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Species,159484,995,Species,,,,,,,
Decodon,Decodon,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Decodon,Genus,203883,NA,remove,,,,,,,
