spp,common,Taxonomic.Grouping,FilterRegion,FilterSubRegion,Management Body,Management Plan
Hemilepidotus papilio,Butterfly sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,
Hemitripterus americanus,Sea raven,Perciformes/Cottoidei (sculpins),US East Coast,Northeast,,
Hemitripterus bolini,Bigmouth sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,
Hemitripterus bolini,Bigmouth sculpin,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,,
Hepatus epheliticus,Calico box crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Heterozonias alternatus,Canonball sun star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Hexagrammos stelleri,Whitespotted greenling,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Hippasteria californica,Californian spiny star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Hippasteria phrygiana,Arctic cushion star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Hippocampus erectus,Lined seahorse,Syngnathiformes (Seahorses),Gulf of Mexico,Gulf of Mexico,,
Hippoglossina oblonga,American fourspot flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,,
Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,
Hippoglossoides platessoides,American plaice,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Hippoglossus hippoglossus,Atlantic halibut,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Species Managed Under International Agreement - IPHC
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Species Managed Under International Agreement - IPHC
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Species Managed Under International Agreement - IPHC
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Species Managed Under International Agreement - IPHC
Histodermella kagigunensis,,Porifera (sponges),Alaska,Aleutian Islands,,
Homarus americanus,American lobster,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Hyas coarctatus,Arctic lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Hyas coarctatus,Arctic lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Hydrolagus colliei,Spotted ratfish,Chimaeriformes (Chimaeras),Alaska,Gulf of Alaska,,
Hydrolagus colliei,Spotted ratfish,Chimaeriformes (Chimaeras),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Hypanus americanus,Southern stingray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Hypanus sabinus,Atlantic stingray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Hypanus say,Bluntnose stingray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Hyporthodus quernus,Hapu'upu'u ,Perciformes/Serranoidei (Groupers),Hawaii,Hawaii,WPFMC,Hawaii Archipelago Ecosystem
Icelinus filamentosus,Threadfin sculpin,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,,
Icelus spiniger,Thorny sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Illex illecebrosus,Northern shortfin squid,"Cephalopoda (squid, octopus)",US East Coast,Northeast,MAFMC,"Mackerel, Squid and Butterfish"
Isopsetta isolepis,Butter sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Kathetostoma albigutta,Lancer stargazer,Perciformes/Uranoscopoidei (Sand dwellers),Gulf of Mexico,Gulf of Mexico,,
Labidochirus splendescens,Splendid hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Labidochirus splendescens,Splendid hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Lagocephalus laevigatus,Smooth puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Lagodon rhomboides,Pinfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Lagodon rhomboides,Pinfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Leiolambrus nitidus,White elbow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,Groundfish of the Bering Sea and Aleutian Islands Management Area
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Lepophidium brevibarbe,Blackedge cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,
Lepophidium jeannae,Mottled cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,
Lepophidium profundorum,Fawn cusk-eel,Ophidiiformes (Cusk eels) ,US East Coast,Northeast,,
Leptasterias (Hexasterias) polaris,Polar six-rayed star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Leptasterias (Hexasterias) polaris,Polar six-rayed star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Leptasterias arctica,Arctic star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Leptasterias arctica,Arctic star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Leucoraja erinaceus,Little skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Leucoraja garmani,Rosette skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Leucoraja ocellata,Winter skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Limanda aspera,Yellowfin sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Limanda aspera,Yellowfin sole,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,
Limanda aspera,Yellowfin sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Limanda sakhalinensis,Sakhalin sole,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,
Limulus polyphemus,Horseshoe crab,Xiphosura (horseshoe crabs),US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Limulus polyphemus,Horseshoe crab,Xiphosura (horseshoe crabs),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Liparis gibbus,Variegated snailfish,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Liponema brevicorne,Tentacle shedding anemone,"Cnidaria (jellyfish, corals, anenomes) ",US West Coast,West Coast,,
Lithodes aequispinus,Golden king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Lithodes couesi,Scarlet king crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Lolliguncula brevis,Atlantic brief squid,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,,
Lolliguncula brevis,Atlantic brief squid,"Cephalopoda (squid, octopus)",US East Coast,Southeast,,
Lophius americanus,Monkfish,Lophiiformes (Anglerfishes),US East Coast,Northeast,MAFMC,Monkfish
Lophius americanus,Monkfish,Lophiiformes (Anglerfishes),US East Coast,Northeast,NEFMC,Monkfish
Luidia clathrata,Lined sea star,Asteroidea (starfishes) ,Gulf of Mexico,Gulf of Mexico,,
Luidia foliolata,Gray sand star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Lumpenus fabricii,Slender eelblenny,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,
Lutjanus campechanus,Red snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Lutjanus griseus,Gray snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Lutjanus synagris,Lane snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Lycenchelys crotalinus,Snakehead eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,,
Lycodes brevipes,Shortfin eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,
Lycodes brevipes,Shortfin eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Gulf of Alaska,,
Lycodes cortezianus,Bigfin eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,,
Lycodes diapterus,Black eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,,
Lycodes pacificus,Blackbelly eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,,
Lycodes palearis,Wattled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,
Lycodes palearis,Wattled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,
Lycodes palearis,Wattled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Gulf of Alaska,,
Lycodes turneri,Polar eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,
Lyopsetta exilis,Slender sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Lyopsetta exilis,Slender sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,,
Mactromeris polynyma,Arctic surfclam,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,
Malacocottus zonurus,Darkfin sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Malacocottus zonurus,Darkfin sculpin,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,,
Malacoraja senta,Smooth skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Mallotus villosus,Capelin,"Osmeriformes (caplin, freshwater smelt)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Mallotus villosus,Capelin,"Osmeriformes (caplin, freshwater smelt)",Alaska,Northern Bering Sea,,
Mallotus villosus,Capelin,"Osmeriformes (caplin, freshwater smelt)",Alaska,Gulf of Alaska,,
Mediaster aequalis,Vermillion star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Melanogrammus aeglefinus,Haddock,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Menticirrhus americanus,Southern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Menticirrhus littoralis,Gulf kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Merluccius albidus,Offshore hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Merluccius bilinearis,Silver hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Merluccius productus,Pacific hake,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Metacarcinus magister,Dungeness crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Metapenaeopsis goodei,Caribbean velvet shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Metridium farcimen,Giant plumose anemone,"Cnidaria (jellyfish, corals, anenomes) ",US West Coast,West Coast,,
Microgadus proximus,Pacific tomcod,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,,
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Microstomus bathybius,Deep-sea sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,,
Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Molpadia intermedia,Sweet potato sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,,
Monacanthus ciliatus,Fringed filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Monanchora pulchra,,Porifera (sponges),Alaska,Aleutian Islands,,
Moreiradromia antillensis,Hairy sponge crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Mullus auratus,Red goatfish,Mulliformes (Goatfishes),Gulf of Mexico,Gulf of Mexico,,
Mustelus canis,Smooth dogfish,Elasmobranchi:Selachi (sharks),US East Coast,Northeast,Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Mustelus canis,Smooth dogfish,Elasmobranchi:Selachi (sharks),US East Coast,Southeast,Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Mycale (Mycale) loveni,Loven's horny sponge,Porifera (sponges),Alaska,Aleutian Islands,,
Myliobatis freminvillei,Bullnose eagle ray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Myoxocephalus jaok,Plain sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,
Myoxocephalus jaok,Plain sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Myoxocephalus octodecemspinosus,Longhorn sculpin,Perciformes/Cottoidei (sculpins),US East Coast,Northeast,,
Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,Groundfish of the Bering Sea and Aleutian Islands Management Area
Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,,
Myoxocephalus scorpius,Shorthorn sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Myxoderma platyacanthum,,Asteroidea (starfishes) ,US West Coast,West Coast,,
Myzopsetta ferruginea,Yellowtail flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Myzopsetta proboscidea,Longhead dab,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Myzopsetta proboscidea,Longhead dab,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Nearchaster (Nearchaster) aciculosus,Needle spined fragile star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Neptunea amianta,,Gastropoda (sea snails and slugs),US West Coast,West Coast,,
Neptunea borealis,,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Neptunea borealis,,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Neptunea heros,Northern neptune whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Neptunea heros,Northern neptune whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Neptunea lyrata,Lyre whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Neptunea pribiloffensis,Pribilof whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Neptunea ventricosa,Fat whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Neptunea ventricosa,Fat whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Nezumia stelgidolepis,California grenadier,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Nicholsina usta,Emerald parrotfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Occella dodecaedron,Bering poacher,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,
Occella dodecaedron,Bering poacher,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Octopoteuthis deletron,Octopus squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Ogcocephalus declivirostris,Slantbrow batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,
Ogcocephalus parvus,Roughback batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,
Oncorhynchus tshawytscha,Chinook salmon,Salmoniformes (Salmons),US West Coast,West Coast,PFMC,Pacific Coast Salmon
Ophidion holbrookii,Bank cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,
Ophiodon elongatus,Lingcod,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,,
Ophiodon elongatus,Lingcod,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Ophiolepis elegans,Elegant brittle star,Ophiuroidea (brittle stars),Gulf of Mexico,Gulf of Mexico,,
Ophiopholis aculeata,Daisy brittle star,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,
Ophiura sarsii,Notched brittle star,Ophiuroidea (brittle stars),Alaska,Northern Bering Sea,,
Ophiura sarsii,Notched brittle star,Ophiuroidea (brittle stars),Alaska,Gulf of Alaska,,
Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,
Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast,,
Opisthoteuthis californiana,Flapjack octopus,"Cephalopoda (squid, octopus)",US West Coast,West Coast,,
Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Osmerus mordax,Rainbow smelt,"Osmeriformes (caplin, freshwater smelt)",Alaska,Northern Bering Sea,,
Ovalipes ocellatus,Ocellate lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Ovalipes stephensoni,Coarsehand lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Pagurus aleuticus,Aleutian hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Pagurus aleuticus,Aleutian hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Pagurus brandti,Sponge hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Pagurus capillatus,Hairy hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pagurus ochotensis,Alaskan hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Pagurus ochotensis,Alaskan hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pagurus pollicaris,Gray hermit crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Pagurus rathbuni,Longfinger hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pagurus trigonocheirus,Fuzzy hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pallasina barbata,Tubenose poacher,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pandalus borealis,Atlantic northern shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Pandalus dispar,Sidestripe shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Pandalus eous,Northern shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Pandalus eous,Northern shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Pandalus eous,Northern shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Pandalus goniurus,Humpy shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pandalus jordani,Ocean shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Pandalus jordani,Ocean shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Pandalus platyceros,Spot shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Pandalus tridens,Yellowleg pandalid,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Paralichthys lethostigma,Southern flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Paralithodes camtschaticus,Red king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Paralithodes camtschaticus,Red king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Paralithodes platypus,Blue king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Paralithodes platypus,Blue king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Pareques umbrosus,Cubbyu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Parmaturus xaniurus,Filetail catshark,Elasmobranchi:Selachi (sharks),US West Coast,West Coast,,
Parophrys vetulus,English sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Parophrys vetulus,English sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Pasiphaea pacifica,Pacific glass shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Pasiphaea pacifica,Pacific glass shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Pasiphaea tarda,Crimson pasiphaeid,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
