"","region","name","common"
"419","Northeast US Fall","Zoarces americanus","Ocean pout"
"420","Northeast US Fall","Malacoraja senta","Smooth skate"
"421","Northeast US Fall","Melanogrammus aeglefinus","Haddock"
"422","Northeast US Fall","Merluccius bilinearis","Silver hake"
"423","Northeast US Fall","Micropogonias undulatus","Atlantic croaker"
"424","Northeast US Fall","Mustelus canis","Smooth dogfish"
"425","Northeast US Fall","Myoxocephalus octodecemspinosus","Longhorn sculpin"
"426","Northeast US Fall","Myxine glutinosa","Atlantic hagfish"
"427","Northeast US Fall","Paralichthys dentatus","Summer flounder"
"428","Northeast US Fall","Paralichthys oblongus","American fourspot flounder"
"429","Northeast US Fall","Peprilus triacanthus","American butterfish"
"430","Northeast US Fall","Placopecten magellanicus","Sea scallop"
"431","Northeast US Fall","Pollachius virens","Pollock"
"432","Northeast US Fall","Pomatomus saltatrix","Bluefish"
"433","Northeast US Fall","Prionotus carolinus","Northern searobin"
"434","Northeast US Fall","Prionotus evolans","Striped searobin"
"435","Northeast US Fall","Pseudopleuronectes americanus","Winter flounder"
"436","Northeast US Fall","Raja eglanteria","Clearnose skate"
"437","Northeast US Fall","Scomber scombrus","Atlantic mackerel"
"438","Northeast US Fall","Scophthalmus aquosus","Windowpane"
"439","Northeast US Fall","Sebastes fasciatus","Acadian redfish"
"440","Northeast US Fall","Squalus acanthias","Spiny dogfish"
"441","Northeast US Fall","Squatina dumeril","Sand devil"
"442","Northeast US Fall","Stenotomus chrysops","Scup"
"443","Northeast US Fall","Tautogolabrus adspersus","Cunner"
"444","Northeast US Fall","Urophycis chuss","Red hake"
"445","Northeast US Fall","Urophycis regia","Spotted hake"
"446","Northeast US Fall","Urophycis tenuis","White hake"
"447","Northeast US Spring","Alosa aestivalis","Blueback herring"
"448","Northeast US Spring","Alosa pseudoharengus","Alewife"
"449","Northeast US Spring","Alosa sapidissima","American shad"
"450","Northeast US Spring","Amblyraja radiata","Thorny skate"
"451","Northeast US Spring","Ammodytes dubius","Northern sand lance"
"452","Northeast US Spring","Anarhichas lupus","Atlantic wolffish"
"453","Northeast US Spring","Brosme brosme","Cusk"
"454","Northeast US Spring","Cancer borealis","Jonah crab"
"455","Northeast US Spring","Cancer irroratus","Atlantic rock crab"
"456","Northeast US Spring","Centropristis striata","Black sea bass"
"457","Northeast US Spring","Citharichthys arctifrons","Gulf stream flounder"
"458","Northeast US Spring","Clupea harengus","Atlantic herring"
"459","Northeast US Spring","Crustacea shrimp","Crustaceans"
"460","Northeast US Spring","Enchelyopus cimbrius","Fourbeard rockling"
"461","Northeast US Spring","Gadus morhua","Atlantic cod"
"462","Northeast US Spring","Glyptocephalus cynoglossus","Witch flounder"
"463","Northeast US Spring","Helicolenus dactylopterus","Blackbelly rosefish"
"464","Northeast US Spring","Hemitripterus americanus","Sea raven"
"465","Northeast US Spring","Hippoglossoides platessoides","American plaice"
"466","Northeast US Spring","Hippoglossus hippoglossus","Atlantic halibut"
"467","Northeast US Spring","Homarus americanus","American lobster"
"468","Northeast US Spring","Illex illecebrosus","Northern shortfin squid"
"469","Northeast US Spring","Lepophidium profundorum","Fawn cusk-eel"
"470","Northeast US Spring","Leucoraja erinacea","Little skate"
"471","Northeast US Spring","Leucoraja ocellata","Winter skate"
"472","Northeast US Spring","Limanda ferruginea","Yellowtail flounder"
"473","Northeast US Spring","Doryteuthis (Amerigo) pealeii","Longfin inshore squid"
"474","Northeast US Spring","Lophius americanus","Goosefish"
"475","Northeast US Spring","Zoarces americanus","Ocean pout"
"476","Northeast US Spring","Malacoraja senta","Smooth skate"
"477","Northeast US Spring","Melanogrammus aeglefinus","Haddock"
"478","Northeast US Spring","Merluccius albidus","Offshore hake"
"479","Northeast US Spring","Merluccius bilinearis","Silver hake"
"480","Northeast US Spring","Myoxocephalus octodecemspinosus","Longhorn sculpin"
"481","Northeast US Spring","Paralichthys dentatus","Summer flounder"
"482","Northeast US Spring","Paralichthys oblongus","American fourspot flounder"
"483","Northeast US Spring","Peprilus triacanthus","American butterfish"
"484","Northeast US Spring","Placopecten magellanicus","Sea scallop"
"485","Northeast US Spring","Pollachius virens","Pollock"
"486","Northeast US Spring","Prionotus carolinus","Northern searobin"
"487","Northeast US Spring","Prionotus evolans","Striped searobin"
"488","Northeast US Spring","Pseudopleuronectes americanus","Winter flounder"
"489","Northeast US Spring","Raja eglanteria","Clearnose skate"
"490","Northeast US Spring","Scomber scombrus","Atlantic mackerel"
"491","Northeast US Spring","Scophthalmus aquosus","Windowpane"
"492","Northeast US Spring","Scyliorhinus retifer","Chain catshark"
"493","Northeast US Spring","Sebastes fasciatus","Acadian redfish"
"494","Northeast US Spring","Squalus acanthias","Spiny dogfish"
"495","Northeast US Spring","Stenotomus chrysops","Scup"
"496","Northeast US Spring","Tautogolabrus adspersus","Cunner"
"497","Northeast US Spring","Urophycis chuss","Red hake"
"498","Northeast US Spring","Urophycis regia","Spotted hake"
"499","Northeast US Spring","Urophycis tenuis","White hake"
"500","Southeast US Fall","Anchoa spp.","Anchovy"
"501","Southeast US Fall","Ancylopsetta ommata","Ocellated flounder"
"502","Southeast US Fall","Archosargus probatocephalus","Sheepshead"
"503","Southeast US Fall","Arenaeus cribrarius","Speckled swimming crab"
"504","Southeast US Fall","Bagre marinus","Gafftopsail catfish"
"505","Southeast US Fall","Bairdiella chrysoura","Silver perch"
"506","Southeast US Fall","Callinectes sapidus","Blue crab"
"507","Southeast US Fall","Callinectes similis","Lesser blue crab"
"508","Southeast US Fall","Caranx crysos","Blue runner"
"509","Southeast US Fall","Centropristis philadelphica","Rock sea bass"
"510","Southeast US Fall","Centropristis striata","Black sea bass"
"511","Southeast US Fall","Chaetodipterus faber","Atlantic spadefish"
"512","Southeast US Fall","Chilomycterus schoepfii","Striped burrfish"
"513","Southeast US Fall","Chloroscombrus chrysurus","Atlantic bumper"
"514","Southeast US Fall","Citharichthys macrops","Spotted whiff"
"515","Southeast US Fall","Citharichthys spilopterus","Bay whiff"
"516","Southeast US Fall","Cynoscion nothus","Silver seatrout"
"517","Southeast US Fall","Cynoscion regalis","Weakfish"
"518","Southeast US Fall","Dasyatis americana","Southern stingray"
"519","Southeast US Fall","Dasyatis sabina","Atlantic stingray"
"520","Southeast US Fall","Dasyatis say","Bluntnose stingray"
"521","Southeast US Fall","Decapterus punctatus","Round scad"
"522","Southeast US Fall","Echeneis naucrates","Sharksucker"
"523","Southeast US Fall","Etropus crossotus","Fringed flounder"
"524","Southeast US Fall","Etropus cyclosquamus","Shelf flounder"
"525","Southeast US Fall","Eucinostomus spp.","Mojarras"
"526","Southeast US Fall","Farfantepenaeus aztecus","Brown shrimp"
"527","Southeast US Fall","Gibbesia neglecta","Lesser mantis shrimp"
"528","Southeast US Fall","Gymnura micrura","Smooth butterfly ray"
"529","Southeast US Fall","Lagodon rhomboides","Pinfish"
"530","Southeast US Fall","Larimus fasciatus","Banded drum"
"531","Southeast US Fall","Leiostomus xanthurus","Spot"
"532","Southeast US Fall","Libinia spp.","Spider crabs"
"533","Southeast US Fall","Litopenaeus setiferus","Northern white shrimp"
"534","Southeast US Fall","Loligo spp.","Loligo squids"
"535","Southeast US Fall","Lolliguncula brevis","Atlantic brief squid"
"536","Southeast US Fall","Menticirrhus americanus","Southern kingfish"
"537","Southeast US Fall","Menticirrhus littoralis","Gulf kingfish"
"538","Southeast US Fall","Micropogonias undulatus","Atlantic croaker"
"539","Southeast US Fall","Opisthonema oglinum","Atlantic thread herring"
"540","Southeast US Fall","Orthopristis chrysoptera","Pigfish"
"541","Southeast US Fall","Ovalipes ocellatus","Lady crab"
"542","Southeast US Fall","Ovalipes stephensoni","Coursehand lady crab"
"543","Southeast US Fall","Pagurus pollicaris","Gray hermit crab"
"544","Southeast US Fall","Paralichthys dentatus","Summer flounder"
"545","Southeast US Fall","Paralichthys lethostigma","Southern flounder"
"546","Southeast US Fall","Peprilus paru","Harvestfish"
"547","Southeast US Fall","Peprilus triacanthus","American butterfish"
"548","Southeast US Fall","Pomatomus saltatrix","Bluefish"
"549","Southeast US Fall","Portunus gibbesii","Iridescent swimming crab"
"550","Southeast US Fall","Achelous spinimanus","Blotched swimming crab"
"551","Southeast US Fall","Prionotus carolinus","Northern searobin"
"552","Southeast US Fall","Prionotus evolans","Striped searobin"
"553","Southeast US Fall","Prionotus rubio","Blackfin searobin"
"554","Southeast US Fall","Prionotus scitulus","Leopard searobin"
"555","Southeast US Fall","Prionotus tribulus","Bighead searobin"
"556","Southeast US Fall","Raja eglanteria","Clearnose skate"
"557","Southeast US Fall","Rhinoptera bonasus","Cownose ray"
"558","Southeast US Fall","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"559","Southeast US Fall","Scomberomorus cavalla","King mackerel"
"560","Southeast US Fall","Scomberomorus maculatus","Spanish mackerel"
"561","Southeast US Fall","Scophthalmus aquosus","Windowpane"
"562","Southeast US Fall","Selene setapinnis","Atlantic moonfish"
"563","Southeast US Fall","Selene vomer","Lookdown"
"564","Southeast US Fall","Sphoeroides maculatus","Northern puffer"
"565","Southeast US Fall","Sphyraena guachancho","Guachanche barracuda"
"566","Southeast US Fall","Sphyrna tiburo","Bonnethead"
"567","Southeast US Fall","Squilla empusa","Mantis shrimp"
"568","Southeast US Fall","Stellifer lanceolatus","Star drum"
"569","Southeast US Fall","Stenotomus spp.","Porgies"
"570","Southeast US Fall","Stephanolepis hispidus","Planehead filefish"
"571","Southeast US Fall","Symphurus plagiusa","Blackcheek tonguefish"
"572","Southeast US Fall","Synodus foetens","Inshore lizardfish"
"573","Southeast US Fall","Trachinotus carolinus","Florida pompano"
"574","Southeast US Fall","Trichiurus lepturus","Atlantic cutlassfish"
"575","Southeast US Fall","Trinectes maculatus","Hogchoker"
"576","Southeast US Fall","Xiphopenaeus kroyeri","Atlantic seabob"
"577","Southeast US Spring","Anchoa spp.","Anchovy"
"578","Southeast US Spring","Ancylopsetta ommata","Ocellated flounder"
"579","Southeast US Spring","Bairdiella chrysoura","Silver perch"
"580","Southeast US Spring","Brevoortia tyrannus","Atlantic menhaden"
"581","Southeast US Spring","Callinectes sapidus","Blue crab"
"582","Southeast US Spring","Callinectes similis","Lesser blue crab"
"583","Southeast US Spring","Centropristis striata","Black sea bass"
"584","Southeast US Spring","Chaetodipterus faber","Atlantic spadefish"
"585","Southeast US Spring","Chilomycterus schoepfii","Striped burrfish"
"586","Southeast US Spring","Chloroscombrus chrysurus","Atlantic bumper"
"587","Southeast US Spring","Citharichthys macrops","Spotted whiff"
"588","Southeast US Spring","Cynoscion nothus","Silver seatrout"
"589","Southeast US Spring","Cynoscion regalis","Weakfish"
"590","Southeast US Spring","Dasyatis say","Bluntnose stingray"
"591","Southeast US Spring","Etropus crossotus","Fringed flounder"
"592","Southeast US Spring","Farfantepenaeus duorarum","Pink shrimp"
"593","Southeast US Spring","Gibbesia neglecta","Lesser mantis shrimp"
"594","Southeast US Spring","Gymnura micrura","Smooth butterfly ray"
"595","Southeast US Spring","Hepatus epheliticus","Calico box crab"
"596","Southeast US Spring","Lagodon rhomboides","Pinfish"
"597","Southeast US Spring","Larimus fasciatus","Banded drum"
"598","Southeast US Spring","Leiostomus xanthurus","Spot"
"599","Southeast US Spring","Libinia spp.","Spider crabs"
"600","Southeast US Spring","Litopenaeus setiferus","Northern white shrimp"
"601","Southeast US Spring","Loligo spp.","Loligo squids"
"602","Southeast US Spring","Lolliguncula brevis","Atlantic brief squid"
"603","Southeast US Spring","Menticirrhus americanus","Southern kingfish"
"604","Southeast US Spring","Menticirrhus littoralis","Gulf kingfish"
"605","Southeast US Spring","Micropogonias undulatus","Atlantic croaker"
"606","Southeast US Spring","Mustelus canis","Smooth dogfish"
"607","Southeast US Spring","Myliobatis freminvillei","Bullnose ray"
"608","Southeast US Spring","Opisthonema oglinum","Atlantic thread herring"
"609","Southeast US Spring","Orthopristis chrysoptera","Pigfish"
"610","Southeast US Spring","Ovalipes ocellatus","Lady crab"
"611","Southeast US Spring","Ovalipes stephensoni","Coursehand lady crab"
"612","Southeast US Spring","Pagurus pollicaris","Gray hermit crab"
"613","Southeast US Spring","Paralichthys dentatus","Summer flounder"
"614","Southeast US Spring","Paralichthys lethostigma","Southern flounder"
"615","Southeast US Spring","Peprilus paru","Harvestfish"
"616","Southeast US Spring","Peprilus triacanthus","American butterfish"
"617","Southeast US Spring","Persephona mediterranea","Mottled purse crab"
"618","Southeast US Spring","Pomatomus saltatrix","Bluefish"
"619","Southeast US Spring","Portunus gibbesii","Iridescent swimming crab"
"620","Southeast US Spring","Achelous spinimanus","Blotched swimming crab"
"621","Southeast US Spring","Prionotus carolinus","Northern searobin"
"622","Southeast US Spring","Prionotus scitulus","Leopard searobin"
"623","Southeast US Spring","Prionotus tribulus","Bighead searobin"
"624","Southeast US Spring","Raja eglanteria","Clearnose skate"
"625","Southeast US Spring","Rhinoptera bonasus","Cownose ray"
"626","Southeast US Spring","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"627","Southeast US Spring","Scomberomorus maculatus","Spanish mackerel"
"628","Southeast US Spring","Scophthalmus aquosus","Windowpane"
"629","Southeast US Spring","Selene setapinnis","Atlantic moonfish"
"630","Southeast US Spring","Sphyrna tiburo","Bonnethead"
"631","Southeast US Spring","Squilla empusa","Mantis shrimp"
"632","Southeast US Spring","Stellifer lanceolatus","Star drum"
"633","Southeast US Spring","Stenotomus spp.","Porgies"
"634","Southeast US Spring","Symphurus plagiusa","Blackcheek tonguefish"
"635","Southeast US Spring","Synodus foetens","Inshore lizardfish"
"636","Southeast US Spring","Trichiurus lepturus","Atlantic cutlassfish"
"637","Southeast US Spring","Trinectes maculatus","Hogchoker"
"638","Southeast US Spring","Urophycis floridana","Southern hake"
"639","Southeast US Spring","Urophycis regia","Spotted hake"
"640","Southeast US Summer","Anchoa spp.","Anchovy"
"641","Southeast US Summer","Ancylopsetta ommata","Ocellated flounder"
"642","Southeast US Summer","Arenaeus cribrarius","Speckled swimming crab"
"643","Southeast US Summer","Bairdiella chrysoura","Silver perch"
"644","Southeast US Summer","Brevoortia tyrannus","Atlantic menhaden"
"645","Southeast US Summer","Callinectes ornatus","Shelligs"
"646","Southeast US Summer","Callinectes sapidus","Blue crab"
"647","Southeast US Summer","Callinectes similis","Lesser blue crab"
"648","Southeast US Summer","Caranx crysos","Blue runner"
"649","Southeast US Summer","Centropristis striata","Black sea bass"
"650","Southeast US Summer","Chaetodipterus faber","Atlantic spadefish"
"651","Southeast US Summer","Chilomycterus schoepfii","Striped burrfish"
"652","Southeast US Summer","Chloroscombrus chrysurus","Atlantic bumper"
"653","Southeast US Summer","Citharichthys macrops","Spotted whiff"
"654","Southeast US Summer","Cynoscion nothus","Silver seatrout"
"655","Southeast US Summer","Cynoscion regalis","Weakfish"
"656","Southeast US Summer","Dasyatis say","Bluntnose stingray"
"657","Southeast US Summer","Echeneis naucrates","Sharksucker"
"658","Southeast US Summer","Etropus crossotus","Fringed flounder"
"659","Southeast US Summer","Etropus cyclosquamus","Shelf flounder"
"660","Southeast US Summer","Eucinostomus spp.","Mojarras"
"661","Southeast US Summer","Farfantepenaeus aztecus","Brown shrimp"
"662","Southeast US Summer","Gibbesia neglecta","Lesser mantis shrimp"
"663","Southeast US Summer","Gymnura micrura","Smooth butterfly ray"
"664","Southeast US Summer","Hepatus epheliticus","Calico box crab"
"665","Southeast US Summer","Lagodon rhomboides","Pinfish"
"666","Southeast US Summer","Larimus fasciatus","Banded drum"
"667","Southeast US Summer","Leiostomus xanthurus","Spot"
"668","Southeast US Summer","Libinia spp.","Spider crabs"
"669","Southeast US Summer","Litopenaeus setiferus","Northern white shrimp"
"670","Southeast US Summer","Loligo spp.","Loligo squids"
"671","Southeast US Summer","Lolliguncula brevis","Atlantic brief squid"
"672","Southeast US Summer","Menippe mercenaria","Florida stone crab"
"673","Southeast US Summer","Menticirrhus americanus","Southern kingfish"
"674","Southeast US Summer","Menticirrhus littoralis","Gulf kingfish"
"675","Southeast US Summer","Micropogonias undulatus","Atlantic croaker"
"676","Southeast US Summer","Opisthonema oglinum","Atlantic thread herring"
"677","Southeast US Summer","Orthopristis chrysoptera","Pigfish"
"678","Southeast US Summer","Ovalipes ocellatus","Lady crab"
"679","Southeast US Summer","Ovalipes stephensoni","Coursehand lady crab"
"680","Southeast US Summer","Pagurus pollicaris","Gray hermit crab"
"681","Southeast US Summer","Paralichthys albigutta","Gulf flounder"
"682","Southeast US Summer","Paralichthys dentatus","Summer flounder"
"683","Southeast US Summer","Paralichthys lethostigma","Southern flounder"
"684","Southeast US Summer","Peprilus paru","Harvestfish"
"685","Southeast US Summer","Peprilus triacanthus","American butterfish"
"686","Southeast US Summer","Persephona mediterranea","Mottled purse crab"
"687","Southeast US Summer","Pomatomus saltatrix","Bluefish"
"688","Southeast US Summer","Portunus gibbesii","Iridescent swimming crab"
"689","Southeast US Summer","Achelous spinimanus","Blotched swimming crab"
"690","Southeast US Summer","Prionotus carolinus","Northern searobin"
"691","Southeast US Summer","Prionotus evolans","Striped searobin"
"692","Southeast US Summer","Prionotus scitulus","Leopard searobin"
"693","Southeast US Summer","Prionotus tribulus","Bighead searobin"
"694","Southeast US Summer","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"695","Southeast US Summer","Scomberomorus cavalla","King mackerel"
"696","Southeast US Summer","Scomberomorus maculatus","Spanish mackerel"
"697","Southeast US Summer","Scophthalmus aquosus","Windowpane"
"698","Southeast US Summer","Selene setapinnis","Atlantic moonfish"
"699","Southeast US Summer","Selene vomer","Lookdown"
"700","Southeast US Summer","Sphoeroides maculatus","Northern puffer"
"701","Southeast US Summer","Sphyraena guachancho","Guachanche barracuda"
"702","Southeast US Summer","Sphyrna tiburo","Bonnethead"
"703","Southeast US Summer","Squilla empusa","Mantis shrimp"
"704","Southeast US Summer","Stellifer lanceolatus","Star drum"
"705","Southeast US Summer","Stenotomus spp.","Porgies"
"706","Southeast US Summer","Stephanolepis hispidus","Planehead filefish"
"707","Southeast US Summer","Synodus foetens","Inshore lizardfish"
"708","Southeast US Summer","Trachinotus carolinus","Florida pompano"
"709","Southeast US Summer","Trichiurus lepturus","Atlantic cutlassfish"
"710","Southeast US Summer","Trinectes maculatus","Hogchoker"
"711","West Coast Annual","Acanthephyra curtirostris","Peaked shrimp"
"712","West Coast Annual","Acantholithodes hispidus","Spiny lithode crab"
"713","West Coast Annual","Actinauge verrilli","Reticulate anemone"
"714","West Coast Annual","Albatrossia pectoralis","Giant grenadier"
"715","West Coast Annual","Alepocephalus tenebrosus","California slickhead"
"716","West Coast Annual","Allosmerus elongatus","Whitebait smelt"
"717","West Coast Annual","Alosa sapidissima","American shad"
"718","West Coast Annual","Anoplogaster cornuta","Common fangtooth"
"719","West Coast Annual","Anoplopoma fimbria","Sablefish"
"720","West Coast Annual","Anthoptilum grandiflorum","Sea pen"
"721","West Coast Annual","Antimora microlepis","Finescale mora"
"722","West Coast Annual","Apristurus brunneus","Brown cat shark"
"723","West Coast Annual","Apristurus kampae","Longnose catshark"
"724","West Coast Annual","Argentina sialis","Pacific argentine"
"725","West Coast Annual","Argyropelecus affinis","Pacific hatchet fish"
"726","West Coast Annual","Aristostomias scintillans","Shiny loosejaw"
"727","West Coast Annual","Asteronyx longifissus","Na"
"728","West Coast Annual","Asteronyx loveni","Na"
"729","West Coast Annual","Astropecten verilli","California sand star"
"730","West Coast Annual","Atheresthes stomias","Arrowtooth flounder"
"731","West Coast Annual","Bathyagonus nigripinnis","Blackfin poacher"
"732","West Coast Annual","Bathyagonus pentacanthus","Bigeye poacher"
"733","West Coast Annual","Bathybembix bairdii","Na"
"734","West Coast Annual","Bathyraja spp.","Skate complex"
"735","West Coast Annual","Berryteuthis magister","Magister armhook squid"
"736","West Coast Annual","Bothrocara brunneum","Twoline eelpout"
"737","West Coast Annual","Brisaster latifrons","Northern heart urchin"
"738","West Coast Annual","Brissopsis pacifica","Na"
"739","West Coast Annual","Calinaticina oldroydii","Oldroyd's fragile moon snail"
"740","West Coast Annual","Cancer anthonyi","Yellow rock crab"
"741","West Coast Annual","Metacarcinus magister","Dungeness crab"
"742","West Coast Annual","Cancer productus","Red rock crab"
"743","West Coast Annual","Careproctus cypselurus","Falcate snailfish"
"744","West Coast Annual","Careproctus gilberti","Smalldisk snailfish"
"745","West Coast Annual","Careproctus melanurus","Blacktail snailfish"
"746","West Coast Annual","Cephaloscyllium ventriosum","Swell shark"
"747","West Coast Annual","Chauliodus macouni","Pacific viperfish"
"748","West Coast Annual","Chilara taylori","Spotted cusk-eel"
"749","West Coast Annual","Chionoecetes bairdi","Tanner crab"
"750","West Coast Annual","Chionoecetes tanneri","Grooved tanner crab"
"751","West Coast Annual","Chiroteuthis calyx","Na"
"752","West Coast Annual","Chitonotus pugetensis","Roughback sculpin"
"753","West Coast Annual","Chorilia longipes","Longhorn decorator crab"
"754","West Coast Annual","Citharichthys sordidus","Pacific sanddab"
"755","West Coast Annual","Clupea pallasii","Pacific herring"
"756","West Coast Annual","Coryphaenoides acrolepis","Pacific grenadier"
"757","West Coast Annual","Crangon communis","Gray shrimp"
"758","West Coast Annual","Crossaster borealis","Grooved sun star"
"759","West Coast Annual","Crossaster papposus","Common sunstar"
"760","West Coast Annual","Cryptopeltaster lepidonotus","Na"
"761","West Coast Annual","Ctenodiscus crispatus","Mud star"
"762","West Coast Annual","Cymatogaster aggregata","Shiner perch"
"763","West Coast Annual","Delectopecten vancouverensis","Vancouver scallop"
"764","West Coast Annual","Dermasterias imbricata","Leather star"
"765","West Coast Annual","Diaphus theta","California headlightfish"
"766","West Coast Annual","Diplopteraster multipes","Cushion star"
"767","West Coast Annual","Dipsacaster eximius","Na"
"768","West Coast Annual","Doryteuthis (Loligo) opalescens","California market squid"
"769","West Coast Annual","Dromalia alexandri","Na"
"770","West Coast Annual","Embassichthys bathybius","Deep-sea sole"
"771","West Coast Annual","Engraulis mordax","Northern anchovy"
"772","West Coast Annual","Enophrys taurina","Bull sculpin"
"773","West Coast Annual","Enteroctopus dofleini","North pacific giant octopus"
"774","West Coast Annual","Eopsetta jordani","Petrale sole"
"775","West Coast Annual","Eptatretus stoutii","Pacific hagfish"
"776","West Coast Annual","Eualus macropthalmus","Bigeye eulid"
"777","West Coast Annual","Fusitriton oregonensis","Oregon triton"
"778","West Coast Annual","Gadus macrocephalus","Pacific cod"
"779","West Coast Annual","Genyonemus lineatus","White croaker"
"780","West Coast Annual","Glyptocephalus zachirus","Rex sole"
"781","West Coast Annual","Gonatopsis borealis","Boreopacific gonate squid"
"782","West Coast Annual","Gonatus onyx","Clawed armhook squid"
"783","West Coast Annual","Gorgonocephalus eucnemis","Basket star"
"784","West Coast Annual","Heterozonias alternatus","Sea star"
"785","West Coast Annual","Hexagrammos decagrammus","Kelp greenling"
"786","West Coast Annual","Hippasteria californica","Californian spiny star"
"787","West Coast Annual","Hippasteria spinosa","Spiny star"
"788","West Coast Annual","Hippoglossina stomata","Bigmouth flounder"
"789","West Coast Annual","Hippoglossoides elassodon","Flathead sole"
"790","West Coast Annual","Hippoglossus stenolepis","Pacific halibut"
"791","West Coast Annual","Histioteuthis heteropsis","Na"
"792","West Coast Annual","Holothuroidea spp.","Sea cucumbers"
"793","West Coast Annual","Hydrolagus colliei","Spotted ratfish"
"794","West Coast Annual","Icelinus filamentosus","Threadfin sculpin"
"795","West Coast Annual","Idiacanthus antrostomus","Pacific blackdragon"
"796","West Coast Annual","Isopsetta isolepis","Butter sole"
"797","West Coast Annual","Lepidopsetta sp.","Rock soles"
"798","West Coast Annual","Leptocottus armatus","Pacific staghorn sculpin"
"799","West Coast Annual","Leuroglossus stilbius","California smoothtongue"
"800","West Coast Annual","Liponema brevicornis","Tentacle shedding anemone"
"801","West Coast Annual","Lithodes couesi","Scarlet king crab"
"802","West Coast Annual","Lophaster furcilliger","Na"
"803","West Coast Annual","Lopholithodes foraminatus","Brown box crab"
"804","West Coast Annual","Loxorhynchus grandis","Sheep crab"
"805","West Coast Annual","Luidia foliolata","Sand star"
"806","West Coast Annual","Lycenchelys crotalinus","Snakehead eelpout"
"807","West Coast Annual","Lycodes cortezianus","Bigfin eelpout"
"808","West Coast Annual","Lycodes diapterus","Black eelpout"
"809","West Coast Annual","Lycodes pacificus","Blackbelly eelpout"
"810","West Coast Annual","Lyopsetta exilis","Slender sole"
"811","West Coast Annual","Mediaster aequalis","Vermilion star"
"812","West Coast Annual","Merluccius productus","Pacific hake"
"813","West Coast Annual","Metridium farcimen","Gigantic anemone"
"814","West Coast Annual","Microgadus proximus","Pacific tomcod"
"815","West Coast Annual","Microstomus pacificus","Dover sole"
"816","West Coast Annual","Molpadia intermedia","Sweet potato sea cucumber"
"817","West Coast Annual","Munida quadrispina","Squat lobster sp."
"818","West Coast Annual","Myxoderma platyacanthum","Sea star"
"819","West Coast Annual","Myxoderma sacculatum","Na"
"820","West Coast Annual","Nearchaster aciculosus","Na"
"821","West Coast Annual","Neptunea amianta","True whelk"
"822","West Coast Annual","Nezumia liolepis","Smooth grenadier"
"823","West Coast Annual","Nezumia stelgidolepis","California grenadier"
"824","West Coast Annual","Octopodidae spp.","Octopuses"
"825","West Coast Annual","Octopoteuthis deletron","Octopus squid"
"826","West Coast Annual","Octopus californicus","North pacific bigeye octopus"
"827","West Coast Annual","Ophiodon elongatus","Lingcod"
"828","West Coast Annual","Ophiomusium jolliensis","Na"
"829","West Coast Annual","Ophiura sarsi","Notched brittle star"
"830","West Coast Annual","Opisthoteuthis californiana","Flapjack octopus"
"831","West Coast Annual","Pandalopsis ampla","Deepwater bigeye"
"832","West Coast Annual","Pandalus jordani","Ocean shrimp"
"833","West Coast Annual","Pandalus platyceros","Spot shrimp"
"834","West Coast Annual","Pannychia moseleyi","Na"
"835","West Coast Annual","Paractinostola faeculenta","Hobnail vase anemone"
"836","West Coast Annual","Paraliparis cephalus","Swellhead snailfish"
"837","West Coast Annual","Paraliparis dactylosus","Red snailfish"
"838","West Coast Annual","Paralithodes californiensis","California king crab"
"839","West Coast Annual","Paralithodes rathbuni","Na"
"840","West Coast Annual","Paralomis multispina","Na"
"841","West Coast Annual","Parastichopus californicus","Giant california sea cucumber"
"842","West Coast Annual","Parastichopus leukothele","Giant orange sea cucumber"
"843","West Coast Annual","Parmaturus xaniurus","Filetail catshark"
"844","West Coast Annual","Parophrys vetulus","English sole"
"845","West Coast Annual","Pasiphaea pacifica","Pacific glass shrimp"
"846","West Coast Annual","Pasiphaea tarda","Crimson pasiphaeid"
"847","West Coast Annual","Peprilus simillimus","Pacific pompano"
"848","West Coast Annual","Physiculus rastrelliger","Hundred fathom mora"
"849","West Coast Annual","Pisaster brevispinus","Giant pink sea star"
"850","West Coast Annual","Platichthys stellatus","Starry flounder"
"851","West Coast Annual","Platymera gaudichaudii","Armed box crab"
"852","West Coast Annual","Pleurobranchaea californica","Sea slug"
"853","West Coast Annual","Pleuronichthys decurrens","Curlfin sole"
"854","West Coast Annual","Pleuronichthys verticalis","Hornyhead turbot"
"855","West Coast Annual","Polycheles sculptus","Blind lobsters"
"856","West Coast Annual","Poraniopsis inflata","Spiny sea star"
"857","West Coast Annual","Porichthys notatus","Plainfin midshipman"
"858","West Coast Annual","Poromitra curilensis","Crested bigscale"
"859","West Coast Annual","Psettichthys melanostictus","Pacific sand sole"
"860","West Coast Annual","Pseudostichopus mollis","Sandy sea cucumber"
"861","West Coast Annual","Psolus squamatus","White creeping pedal sea cucumber"
"862","West Coast Annual","Pteraster jordani","Jordan's cushion star"
"863","West Coast Annual","Ptilosarcus gurneyi","Gurney's sea pen"
"864","West Coast Annual","Radulinus asprellus","Slim sculpin"
"865","West Coast Annual","Beringraja binoculata","Big skate"
"866","West Coast Annual","Beringraja inornata","California skate"
"867","West Coast Annual","Beringraja rhina","Longnose skate"
