"","Region","SurveyName","Species","Common","TrendCategory","Notes"
"207","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Thaleichthys pacificus","Eulachon","Persistently Present",NA
"208","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Zaprora silenus","Prowfish","Persistently Present",NA
"209","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Acanthostracion quadricornis","Scrawled cowfish","Persistently Present",NA
"210","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Achelous gibbesii","Iridescent swimming crab","Persistently Present",NA
"211","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Achelous ordwayi","Silvery-clawed swimming crab","Persistently Present",NA
"212","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Achelous spinicarpus","Longspine swimming crab","Persistently Present",NA
"213","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Achelous spinimanus","Blotched swimming crab","Persistently Present",NA
"214","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Aluterus heudelotii","Dotterel filefish","Persistently Present",NA
"215","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Aluterus schoepfii","Orange filefish","Persistently Present",NA
"216","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Anadara secernenda","Skewed ark","Persistently Present",NA
"217","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Anasimus latus","Stilt spider crab","Persistently Present",NA
"218","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Anchoa hepsetus","Striped anchovy","Persistently Present",NA
"219","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Anchoa mitchilli","Bay anchovy","Persistently Present",NA
"220","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ancylopsetta dilecta","Three-eye flounder","Persistently Present",NA
"221","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Apogon pseudomaculatus","Twospot cardinalfish","Persistently Present",NA
"222","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Apogon quadrisquamatus","Sawcheek cardinalfish","Persistently Present",NA
"223","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Arbacia punctulata","Purple-spined sea urchin","Persistently Present",NA
"224","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Argopecten gibbus","Calico scallop","Persistently Present",NA
"225","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ariopsis felis","Hardhead catfish","Persistently Present",NA
"226","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Astropecten articulatus","Royal sea star","Persistently Present",NA
"227","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Astropecten cingulatus",NA,"Persistently Present",NA
"228","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Astropecten duplicatus","Two-spined star fish","Persistently Present",NA
"229","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Astropecten karankawai",NA,"Potentially Emerging","Preliminary trend - under review"
"230","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Astropecten mcedwardi",NA,"Potentially Emerging","Preliminary trend - under review"
"231","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Balistes capriscus","Gray triggerfish","Persistently Present",NA
"232","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Bellator militaris","Horned searobin","Persistently Present",NA
"233","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Bollmannia communis","Ragged goby","Persistently Present",NA
"234","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Bothus robinsi","Twospot flounder","Persistently Present",NA
"235","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Brevoortia patronus","Gulf menhaden","Persistently Present",NA
"236","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Brotula barbata","Bearded brotula","Persistently Present",NA
"237","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Calamus arctifrons","Grass porgy","Persistently Present",NA
"238","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Calamus nodosus","Knobbed porgy","Persistently Present",NA
"239","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Calamus proridens","Littlehead porgy","Persistently Present",NA
"240","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Calappa flammea","Flame box crab","Persistently Present",NA
"241","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Calappa sulcata","Yellow box crab","Persistently Present",NA
"242","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Callinectes sapidus","Blue crab","Persistently Present",NA
"243","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Callinectes similis","Lesser blue crab","Persistently Present",NA
"244","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Caranx crysos","Blue runner","Persistently Present",NA
"245","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Centropristis ocyurus","Bank sea bass","Persistently Present",NA
"246","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Centropristis philadelphica","Rock sea bass","Persistently Present",NA
"247","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chaetodipterus faber","Atlantic spadefish","Persistently Present",NA
"248","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chaetodon ocellatus","Spotfin butterflyfish","Persistently Present",NA
"249","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chaetodon sedentarius","Reef butterflyfish","Persistently Present",NA
"250","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chilomycterus schoepfii","Striped burrfish","Persistently Present",NA
"251","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chloroscombrus chrysurus","Atlantic bumper","Persistently Present",NA
"252","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Chrysaora quinquecirrha","Sea nettle","Sporadic - Primarily Present",NA
"253","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Citharichthys macrops","Spotted whiff","Persistently Present",NA
"254","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Citharichthys spilopterus","Bay whiff","Persistently Present",NA
"255","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Coryrhynchus sidneyi","Shortfinger neck crab","Persistently Present",NA
"256","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Cyclopsetta chittendeni","Mexican flounder","Persistently Present",NA
"257","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Cyclopsetta fimbriata","Spotfin flounder","Persistently Present",NA
"258","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Cynoscion arenarius","Sand weakfish","Persistently Present",NA
"259","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Cynoscion nothus","Silver seatrout","Persistently Present",NA
"260","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Decapterus punctatus","Round scad","Persistently Present",NA
"261","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Diplectrum bivittatum","Dwarf sand perch","Persistently Present",NA
"262","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Diplectrum formosum","Sand perch","Persistently Present",NA
"263","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Doryteuthis sp","Inshore Squid sp.","Persistently Present",NA
"264","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Echiophis intertinctus","Spotted spoon-nose eel","Persistently Present",NA
"265","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Encope aberrans",NA,"Persistently Present",NA
"266","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Engyophrys senta","Spiny flounder","Persistently Present",NA
"267","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Epinephelus morio","Red grouper","Persistently Present",NA
"268","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Eques lanceolatus","Jackknife-fish","Persistently Present",NA
"269","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Etropus crossotus","Fringed flounder","Persistently Present",NA
"270","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Etropus rimosus","Gray flounder","Persistently Present",NA
"271","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Eucidaris tribuloides","Slate pencil urchin","Persistently Present",NA
"272","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Eucinostomus gula","Silver jenny","Persistently Present",NA
"273","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Eucinostomus harengulus","Tidewater mojarra","Potentially Disappearing","Preliminary trend - under review"
"274","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Euphrosynoplax clausa","Craggy bathyal crab","Persistently Present",NA
"275","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Euvola marensis","Paper scallop","Persistently Present",NA
"276","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Euvola raveneli","Round rib scallop","Persistently Present",NA
"277","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Fowlerichthys radiosus","Singlespot frogfish","Persistently Present",NA
"278","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Gastropsetta frontalis","Shrimp flounder","Persistently Present",NA
"279","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Gymnothorax saxicola","Honeycomb moray","Persistently Present",NA
"280","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Haemulon aurolineatum","Tomtate grunt","Persistently Present",NA
"281","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Haemulon plumierii","White grunt","Persistently Present",NA
"282","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Halieutichthys sp","Batfishes","Persistently Present",NA
"283","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Harengula jaguana","Scaled sardine","Persistently Present",NA
"284","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Hepatus epheliticus","Calico box crab","Persistently Present",NA
"285","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Hippocampus erectus","Lined seahorse","Persistently Present",NA
"286","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Holacanthus bermudensis","Blue angelfish","Persistently Present",NA
"287","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Iliacantha liodactylus",NA,"Persistently Present",NA
"288","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Kathetostoma albigutta","Lancer stargazer","Persistently Present",NA
"289","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Laevicardium mortoni","Yellow eggcockle","Persistently Present",NA
"290","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lagocephalus laevigatus","Smooth puffer","Persistently Present",NA
"291","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lagodon rhomboides","Pinfish","Persistently Present",NA
"292","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Larimus fasciatus","Banded drum","Persistently Present",NA
"293","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Leiolambrus nitidus","White elbow crab","Persistently Present",NA
"294","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Leiostomus xanthurus","Spot","Persistently Present",NA
"295","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lepophidium brevibarbe","Blackedge cusk-eel","Persistently Present",NA
"296","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lepophidium jeannae","Mottled cusk-eel","Persistently Present",NA
"297","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lolliguncula brevis","Atlantic brief squid","Persistently Present",NA
"298","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia alternata","Banded sea star","Persistently Present",NA
"299","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia clathrata","Lined sea star","Persistently Present",NA
"300","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Luidia lawrencei",NA,"Potentially Emerging","Preliminary trend - under review"
"301","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus campechanus","Red snapper","Persistently Present",NA
"302","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus griseus","Gray snapper","Persistently Present",NA
"303","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lutjanus synagris","Lane snapper","Persistently Present",NA
"304","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lytechinus variegatus","Variegated sea urchin","Persistently Present",NA
"305","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Lytechinus variegatus carolinus",NA,"Sporadic - Primarily Absent",NA
"306","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Menticirrhus americanus","Southern kingfish","Persistently Present",NA
"307","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Metapenaeopsis goodei","Caribbean velvet shrimp","Persistently Present",NA
"308","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Micropogonias undulatus","Atlantic croaker","Persistently Present",NA
"309","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Mithrax pleuracanthus","Shaggy clinging crab","Persistently Present",NA
"310","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Monacanthus ciliatus","Fringed filefish","Persistently Present",NA
"311","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Moreiradromia antillensis","Hairy sponge crab","Persistently Present",NA
"312","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Mullus auratus","Red goatfish","Persistently Present",NA
"313","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Myropsis quinquespinosa","Fivespine purse crab","Persistently Present",NA
"314","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Nicholsina usta","Emerald parrotfish","Persistently Present",NA
"315","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Octopus joubini","Atlantic pygmy octopus","Persistently Present","Preliminary trend - under review"
"316","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Octopus vulgaris","Common octopus","Persistently Present",NA
"317","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus corniger","Longnose batfish","Persistently Present",NA
"318","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus cubifrons",NA,"Persistently Present","Preliminary trend - under review"
"319","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus declivirostris","Slantbrow batfish","Persistently Present",NA
"320","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus pantostictus","Spotted batfish","Persistently Present",NA
"321","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus parvus","Roughback batfish","Persistently Present",NA
"322","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ogcocephalus radiatus","Polka-dot batfish","Potentially Disappearing",NA
"323","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophidion antipholus","Longnose cusk-eel","Potentially Emerging","Preliminary trend - under review"
"324","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophidion holbrookii","Bank cusk-eel","Persistently Present",NA
"325","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ophiolepis elegans","Elegant brittle star","Persistently Present",NA
"326","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Opisthonema oglinum","Atlantic thread herring","Persistently Present",NA
"327","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Orthopristis chrysoptera","Pigfish","Persistently Present",NA
"328","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Ovalipes floridanus","Florida lady crab","Persistently Present",NA
"329","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pagrus pagrus","Red porgy","Persistently Present",NA
"330","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paguristes sericeus","Blue-eyed hermit","Persistently Present",NA
"331","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paralichthys albigutta","Gulf flounder","Persistently Present",NA
"332","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Paralichthys lethostigma","Southern flounder","Persistently Present",NA
"333","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Parapenaeus politus","Rose shrimp","Persistently Present",NA
"334","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pareques umbrosus","Cubbyu","Persistently Present",NA
"335","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus aztecus","Brown shrimp","Persistently Present",NA
"336","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus duorarum","Pink shrimp","Persistently Present",NA
"337","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Penaeus setiferus","Northern white shrimp","Persistently Present",NA
"338","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Peprilus burti","Gulf butterfish","Persistently Present",NA
"339","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Peprilus paru","Harvestfish","Persistently Present",NA
"340","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pitarenus cordatus","Corded pitar","Persistently Present",NA
"341","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Platylambrus granulatus","Bladetooth elbow crab","Persistently Present",NA
"342","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Polydactylus octonemus","Atlantic threadfin","Sporadic - Primarily Present",NA
"343","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Polystira albida","White giant-turris","Persistently Present",NA
"344","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Porichthys plectrodon","Atlantic midshipman","Persistently Present",NA
"345","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Priacanthus arenatus","Atlantic bigeye","Persistently Present",NA
"346","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus alatus","Spiny searobin","Persistently Present",NA
"347","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus longispinosus","Bigeye searobin","Persistently Present",NA
"348","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus martis","Gulf of mexico barred searobin","Persistently Present",NA
"349","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus ophryas","Bandtail searobin","Persistently Present",NA
"350","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus paralatus","Mexican searobin","Persistently Present",NA
"351","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus roseus","Bluespotted searobin","Persistently Present",NA
"352","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus rubio","Blackwing searobin","Persistently Present",NA
"353","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus scitulus","Leopard searobin","Persistently Present",NA
"354","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus stearnsi","Shortwing searobin","Persistently Present",NA
"355","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Prionotus tribulus","Bighead searobin","Persistently Present",NA
"356","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pristigenys alta","Short bigeye","Persistently Present",NA
"357","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pristipomoides aquilonaris","Wenchman","Persistently Present",NA
"358","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Pseudorhombila quadridentata","Flecked squareback crab","Persistently Present",NA
"359","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Raninoides louisianensis","Gulf frog crab","Persistently Present",NA
"360","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Renilla muelleri","Mueller's sea pansy","Persistently Present",NA
"361","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Persistently Present",NA
"362","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhomboplites aurorubens","Vermilion snapper","Persistently Present",NA
"363","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rhynchoconger flavus","Yellow conger","Persistently Present",NA
"364","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rostroraja eglanteria","Clearnose skate","Persistently Present",NA
"365","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rostroraja texana","Roundel skate","Persistently Present",NA
"366","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Rypticus maculatus","Whitespotted soapfish","Persistently Present",NA
"367","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sardinella aurita","Spanish sardine","Persistently Present",NA
"368","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Saurida brasiliensis","Largescale lizardfish","Persistently Present",NA
"369","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Saurida normani","Shortjaw lizardfish","Persistently Present",NA
"370","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scomberomorus maculatus","Spanish mackerel","Sporadic - Primarily Present",NA
"371","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena agassizii","Longfin scorpionfish","Persistently Present",NA
"372","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena brasiliensis","Barbfish","Persistently Present",NA
"373","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scorpaena calcarata","Smoothhead scorpionfish","Persistently Present",NA
"374","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scyllarides nodifer","Ridged slipper lobster","Persistently Present",NA
"375","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Scyllarus chacei","Chace slipper lobster","Persistently Present",NA
"376","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Selene setapinnis","Atlantic moonfish","Persistently Present",NA
"377","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus atrobranchus","Blackear bass","Persistently Present",NA
"378","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus notospilus","Saddle bass","Persistently Present",NA
"379","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Serranus phoebe","Tattler","Persistently Present",NA
"380","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sicyonia brevirostris","Brown rock shrimp","Persistently Present",NA
"381","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sicyonia dorsalis","Lesser rock shrimp","Persistently Present",NA
"382","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Solenocera atlantidis","Dwarf humpback shrimp","Persistently Present",NA
"383","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Solenocera vioscai","Humpback shrimp","Persistently Present",NA
"384","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides dorsalis","Marbled puffer","Persistently Present",NA
"385","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides parvus","Least puffer","Persistently Present",NA
"386","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Sphoeroides spengleri","Bandtail puffer","Persistently Present",NA
"387","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla chydaea","Offshore mantis shrimp","Persistently Present",NA
"388","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla empusa","Mantis shrimp","Persistently Present",NA
"389","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Squilla rugosa",NA,"Persistently Present",NA
"390","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stellifer lanceolatus","Star drum","Persistently Present",NA
"391","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenocionops coelatus",NA,"Persistently Present",NA
"392","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenocionops furcatus","Furcate spider crab","Persistently Present",NA
"393","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenorhynchus seticornis","Yellowline arrow crab","Persistently Present",NA
"394","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenorhynchus yangi","Red arrow crab","Potentially Emerging","Preliminary trend - under review"
"395","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stenotomus caprinus","Longspine porgy","Persistently Present",NA
"396","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stephanolepis hispida","Planehead filefish","Persistently Present",NA
"397","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Stylocidaris affinis","Pencil urchin","Persistently Present",NA
"398","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Syacium gunteri","Shoal flounder","Persistently Present",NA
"399","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Syacium papillosum","Dusky flounder","Persistently Present",NA
"400","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Symphurus diomedeanus","Spottedfin tonguefish","Persistently Present",NA
"401","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Symphurus plagiusa","Blackcheek tonguefish","Persistently Present",NA
"402","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus foetens","Inshore lizardfish","Persistently Present",NA
"403","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus intermedius","Sand diver","Persistently Present",NA
"404","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus macrostigmus","Largespot lizardfish","Emerged","Preliminary trend - under review"
"405","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Synodus poeyi","Offshore lizardfish","Persistently Present",NA
"406","Gulf of Mexico","Gulf of Mexico Summer Shrimp/Groundfish Survey","Trachinocephalus myops","Snakefish","Persistently Present",NA
