survey_name,valid_name,common,rank,class,order,family,citation,valid_authority,valid_AuthID,url,src_database
Astropecten americanus,Astropecten americanus,,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten americanus (Verrill, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158490 on 2022-12-01","(Verrill, 1880)",158490,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158490,WORMS
Astropecten antillensis,Astropecten antillensis,,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten antillensis L<fc>tken, 1859. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178646 on 2022-12-01","L<fc>tken, 1859",178646,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178646,WORMS
Astropecten armatus,Astropecten armatus,Spiny sand star,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten armatus Gray, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292851 on 2022-12-01","Gray, 1840",292851,https://www.marinespecies.org/aphia.php?p=taxdetails&id=292851,WORMS
Astropecten articulatus,Astropecten articulatus,Royal sea star,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten articulatus (Say, 1825). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158491 on 2022-12-01","(Say, 1825)",158491,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158491,WORMS
Astropecten comptus,Astropecten articulatus,Royal sea star,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten comptus Verrill, 1915. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178649 on 2022-12-01","(Say, 1825)",158491,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178649,WORMS
Astropecten californicus,Astropecten californicus,California sand star,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten californicus Fisher, 1906. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368460 on 2022-12-01","Fisher, 1906",368460,https://www.marinespecies.org/aphia.php?p=taxdetails&id=368460,WORMS
Astropecten cingulatus,Astropecten cingulatus,,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten cingulatus Sladen, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178648 on 2022-12-01","Sladen, 1883",178648,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178648,WORMS
Astropecten duplicatus,Astropecten duplicatus,Two-spined star fish,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten duplicatus Gray, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178650 on 2022-12-01","Gray, 1840",178650,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178650,WORMS
Astrotecten duplicatus,Astropecten duplicatus,Two-spined star fish,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten duplicatus Gray, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178650 on 2022-12-01","Gray, 1840",178650,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178650,WORMS
Astropecten ornatissimus,Astropecten ornatissimus,Orange sand star,Species,Asteroidea,Paxillosida,Astropectinidae,"Mah, C.L. (2022). World Asteroidea Database. Astropecten ornatissimus Fisher, 1906. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=380302 on 2022-12-01","Fisher, 1906",380302,https://www.marinespecies.org/aphia.php?p=taxdetails&id=380302,WORMS
Astropectinidae,Astropectinidae,,HigherOrder,Asteroidea,Paxillosida,Astropectinidae,,,,,worms
Astrophyton,Astrophyton,,HigherOrder,,,,,,,,worms
Astrophyton muricatus,Astrophyton muricatum,Giant basket star,Species,Ophiuroidea,Phrynophiurida,Gorgonocephalidae,,,,,WORMS
Astroporpa,Astroporpa,,HigherOrder,,,,,,,,worms
Astropyga magnifica,Astropyga magnifica,,Species,Echinoidea,Diadematoida,Diadematidae,"Kroh, A.; Mooi, R. (2022). World Echinoidea Database. Astropyga magnifica A.H. Clark, 1934. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=422486 on 2022-12-01","A.H. Clark, 1934",422486,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422486,WORMS
Astroscopus guttatus,Astroscopus guttatus,Northern stargazer,Species,Actinopteri,Perciformes,Uranoscopidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Astroscopus guttatus Abbott, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159251 on 2022-12-01","Abbott, 1860",159251,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159251,WORMS
Astroscopus y-graecum,Astroscopus ygraecum,Southern stargazer,Species,Actinopteri,Perciformes/Uranoscopoidei,Uranoscopidae,,,,,WORMS
Atelostomata,Atelostomata,,HigherOrder,,,,,,,,worms
Atheresthes evermanni,Atheresthes evermanni,Kamchatka flounder,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Atheresthes evermanni Jordan & Starks, 1904. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279791 on 2022-12-01","Jordan & Starks, 1904",279791,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279791,WORMS
Atheresthes stomias,Atheresthes stomias,Arrowtooth flounder,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Atheresthes stomias (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792 on 2022-12-01","(Jordan & Gilbert, 1880)",279792,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792,WORMS
Atheresthes stomias and a. evermanni,Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,,,,,worms
Atherinidae,Atherinidae,,HigherOrder,,,,,,,,worms
Atherinops affinis,Atherinops affinis,Topsmelt silverside,Species,Actinopteri,Atheriniformes,Atherinidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Atherinops affinis (Ayres, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279812 on 2022-12-01","(Ayres, 1860)",279812,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279812,WORMS
Antherinopsis californiensis,Atherinopsis californiensis,Jacksmelt,Species,Actinopteri,Atheriniformes,Atherinidae,,,,,WORMS
Atlantopandalus propinqvus,Atlantopandalus propinqvus,Similar shrimp,Species,Malacostraca,Decapoda,Pandalidae,"WoRMS (2022). Atlantopandalus propinqvus (G.O. Sars, 1870). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158351 on 2022-12-19","(G.O. Sars, 1870)",158351,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158351,WORMS
Pandalus propinquus,Atlantopandalus propinqvus,Similar shrimp,Species,Malacostraca,Decapoda,Pandalidae,"WoRMS (2022). Pandalus propinquus G.O. Sars, 1870. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=493849 on 2022-12-01","(G.O. Sars, 1870)",158351,https://www.marinespecies.org/aphia.php?p=taxdetails&id=493849,WORMS
Atolla,Atolla,,HigherOrder,Scyphozoa,Coronatae,Atollidae,,,,,worms
Atolla sp.,Atolla,,HigherOrder,Scyphozoa,Coronatae,Atollidae,,,,,worms
Atolla wyvillei,Atolla wyvillei,Wyville's crownjelly,Species,Scyphozoa,Coronatae,Atollidae,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2022). World List of Scyphozoa. Atolla wyvillei Haeckel, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135282 on 2022-12-19","Haeckel, 1880",135282,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135282,WORMS
Atrina,Atrina,,HigherOrder,Bivalvia,Ostreida,Pinnidae,,,,,worms
Atrina rigida,Atrina rigida,Stiff pen shell,Species,Bivalvia,Ostreida,Pinnidae,"MolluscaBase eds. (2022). MolluscaBase. Atrina rigida ([Lightfoot], 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=420739 on 2022-12-01","([Lightfoot], 1786)",420739,https://www.marinespecies.org/aphia.php?p=taxdetails&id=420739,WORMS
Atrina seminuda,Atrina seminuda,Half naked pen shell,Species,Bivalvia,Ostreida,Pinnidae,"MolluscaBase eds. (2022). MolluscaBase. Atrina seminuda (Lamarck, 1819). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=420740 on 2022-12-01","(Lamarck, 1819)",420740,https://www.marinespecies.org/aphia.php?p=taxdetails&id=420740,WORMS
Atrina serrata,Atrina serrata,Sawtooth penshell,Species,Bivalvia,Ostreida,Pinnidae,"MolluscaBase eds. (2022). MolluscaBase. Atrina serrata (G. B. Sowerby I, 1825). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=420741 on 2022-12-01","(G. B. Sowerby I, 1825)",420741,https://www.marinespecies.org/aphia.php?p=taxdetails&id=420741,WORMS
Colus spitzbergensis,Aulacofusus brevicauda,Thick ribbed whelk,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus spitzbergensis (Reeve, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254475 on 2022-12-01","(Deshayes, 1832)",490735,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254475,WORMS
Colus calathus,Aulacofusus calathus,,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus calathus Dall, 1919. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=724267 on 2022-12-01","(Dall, 1919)",490738,https://www.marinespecies.org/aphia.php?p=taxdetails&id=724267,WORMS
Colus esychus,Aulacofusus esychus,Esychus colus,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus esychus (Dall, 1907). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423284 on 2022-12-01","(Dall, 1907)",576652,https://www.marinespecies.org/aphia.php?p=taxdetails&id=423284,WORMS
Colus herendeenii,Aulacofusus herendeeni,Thin-ribbed whelk,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus herendeenii (Dall, 1902). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=580882 on 2022-12-01","(Dall, 1902)",490740,https://www.marinespecies.org/aphia.php?p=taxdetails&id=580882,WORMS
Colus ombronius,Aulacofusus ombronius,Shady whelk,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus ombronius Dall, 1919. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=580889 on 2022-12-01","(Dall, 1919)",490743,https://www.marinespecies.org/aphia.php?p=taxdetails&id=580889,WORMS
Colus periscelidus,Aulacofusus periscelidus,Garter whelk,Species,Gastropoda,Neogastropoda,Colidae,"MolluscaBase eds. (2022). MolluscaBase. Colus periscelidus (Dall, 1891). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=580890 on 2022-12-01","(Dall, 1891)",490744,https://www.marinespecies.org/aphia.php?p=taxdetails&id=580890,WORMS
Aulorhynchus flavidus,Aulorhynchus flavidus,Tube snout,Species,Actinopteri,Perciformes,Aulorhynchidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Aulorhynchus flavidus Gill, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279839 on 2022-12-01","Gill, 1861",279839,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279839,WORMS
Aulosaccus schulzei,Aulosaccus schulzei,,Species,Hexactinellida,Lyssacinosida,Rossellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; C<e1>rdenas, P.; D<ed>az, M.-C.; Dohrmann, M.; Downey, R.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Manconi, R.; Morrow, C.C. Pisera, A.B.; R<ed>os, P.; R<fc>tzler, K.; Sch<f6>nberg, C.; Vacelet, J.; van Soest, R.W.M. (2022). World Porifera Database. Aulosaccus schulzei Ijima, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172025 on 2022-12-01","Ijima, 1896",172025,https://www.marinespecies.org/aphia.php?p=taxdetails&id=172025,WORMS
Aulostomus maculatus,Aulostomus maculatus,Trumpetfish,Species,Actinopteri,Syngnathiformes,Aulostomidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Aulostomus maculatus Valenciennes, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278080 on 2022-12-01","Valenciennes, 1841",278080,https://www.marinespecies.org/aphia.php?p=taxdetails&id=278080,WORMS
Aurelia,Aurelia,Moon jellyfishes,HigherOrder,Scyphozoa,Semaeostomeae,Ulmaridae,,,,,worms
Aurelia sp.,Aurelia,Moon jellyfishes,HigherOrder,Scyphozoa,Semaeostomeae,Ulmaridae,,,,,worms
Aurelia aurita,Aurelia aurita,Moon jelly,Species,Scyphozoa,Semaeostomeae,Ulmaridae,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2022). World List of Scyphozoa. Aurelia aurita (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135306 on 2022-12-01","(Linnaeus, 1758)",135306,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135306,WORMS
Aurelia labiata,Aurelia labiata,Pacific moon jelly,Species,Scyphozoa,Semaeostomeae,Ulmaridae,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2022). World List of Scyphozoa. Aurelia labiata Chamisso & Eysenhardt, 1821. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=287213 on 2022-12-01","Chamisso & Eysenhardt, 1821",287213,https://www.marinespecies.org/aphia.php?p=taxdetails&id=287213,WORMS
Aurelia limbata,Aurelia limbata,Brownbranded moon jelly,Species,Scyphozoa,Semaeostomeae,Ulmaridae,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2022). World List of Scyphozoa. Aurelia limbata Brandt, 1835. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158199 on 2022-12-01","Brandt, 1835",158199,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158199,WORMS
Macoma constricta,Austromacoma constricta,Constricted macoma,Species,Bivalvia,Cardiida,Tellinidae,"MolluscaBase eds. (2022). MolluscaBase. Macoma constricta (Brugui<e8>re, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=420878 on 2022-12-01","(Brugui<e8>re, 1792)",880005,https://www.marinespecies.org/aphia.php?p=taxdetails&id=420878,WORMS
Auxis thazard,Auxis thazard,Frigate tuna,Species,Actinopteri,Scombriformes,Scombridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Auxis thazard (Lacep<e8>de, 1800). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127016 on 2022-12-01","(Lacep<e8>de, 1800)",127016,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127016,WORMS
Avocettina sp.,Avocettina,,HigherOrder,Actinopteri,Anguilliformes,Nemichthyidae,,,,,worms
Avocettina infans,Avocettina infans,Avocet snipe eel,Species,Actinopteri,Anguilliformes,Nemichthyidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Avocettina infans (G<fc>nther, 1878). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126304 on 2022-12-01","(G<fc>nther, 1878)",126304,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126304,WORMS
Axianassa arenaria,Axianassa arenaria,,Species,Malacostraca,Decapoda,Axianassidae,"WoRMS (2022). Axianassa arenaria Kensley & Heard, 1990. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=421830 on 2022-12-01","Kensley & Heard, 1990",421830,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421830,WORMS
Axiidae,Axiidae,,HigherOrder,,,,,,,,worms
Axiidae f.,Axiidae,,HigherOrder,,,,,,,,worms
Axinella,Axinella,,HigherOrder,Demospongiae,Axinellida,Axinellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axinella Schmidt, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131774 on 2023-01-31","Schmidt, 1862",131774,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131774,worms
Axinella sp.,Axinella,,HigherOrder,Demospongiae,Axinellida,Axinellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axinella Schmidt, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131774 on 2023-01-31","Schmidt, 1862",131774,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131774,worms
Axinella blanca,Axinella blanca,,Species,Demospongiae,Axinellida,Axinellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; C<e1>rdenas, P.; D<ed>az, M.-C.; Dohrmann, M.; Downey, R.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Manconi, R.; Morrow, C.C. Pisera, A.B.; R<ed>os, P.; R<fc>tzler, K.; Sch<f6>nberg, C.; Vacelet, J.; van Soest, R.W.M. (2022). World Porifera Database. Axinella blanca Koltun, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=132468 on 2022-12-01","Koltun, 1959",132468,https://www.marinespecies.org/aphia.php?p=taxdetails&id=132468,WORMS
Axiopsis,Axiopsis,,HigherOrder,,,,,,,,worms
Axius serratus,Axius serratus,Lobster shrimp,Species,Malacostraca,Decapoda,Axiidae,"WoRMS (2022). Axius serratus Stimpson, 1852. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158379 on 2022-12-19","Stimpson, 1852",158379,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158379,WORMS
Munida forceps,Babamunida forceps,,Species,Malacostraca,Decapoda,Munididae,"WoRMS (2022). Munida forceps A. Milne-Edwards, 1880. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=392339 on 2022-12-01","(A. Milne Edwards, 1880)",1605925,https://www.marinespecies.org/aphia.php?p=taxdetails&id=392339,WORMS
Bagre marinus,Bagre marinus,Gafftopsail catfish,Species,Actinopteri,Siluriformes,Ariidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Bagre marinus (Mitchill, 1815). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158713 on 2022-12-01","(Mitchill, 1815)",158713,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158713,WORMS
Bairdiella chrysoura,Bairdiella chrysoura,Silver perch,Species,Actinopteri,Eupercaria incertae sedis,Sciaenidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Bairdiella chrysoura (Lacep<e8>de, 1802). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159303 on 2022-12-01","(Lacep<e8>de, 1802)",159303,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159303,WORMS
Bajacalifornia burragei,Bajacalifornia burragei,Sharpchin slickhead,Species,Actinopteri,Alepocephaliformes,Alepocephalidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Bajacalifornia burragei Townsend & Nichols, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272857 on 2022-12-01","Townsend & Nichols, 1925",272857,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272857,WORMS
Bajacalifornia erimoensis,Bajacalifornia erimoensis,,Species,Actinopteri,Alepocephaliformes,Alepocephalidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Bajacalifornia erimoensis Amaoka & Abe, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272858 on 2022-12-01","Amaoka & Abe, 1977",272858,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272858,WORMS
Bajacalifornia megalops,Bajacalifornia megalops,Bigeye smoothhead,Species,Actinopteri,Alepocephaliformes,Alepocephalidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Bajacalifornia megalops (L<fc>tken, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126687 on 2022-12-19","(L<fc>tken, 1898)",126687,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126687,WORMS
Balanidae f.,Balanidae,,HigherOrder,,,,,,,,worms
Balanus,Balanus,,HigherOrder,Thecostraca,Balanomorpha,Balanidae,,,,,worms
Balanus sp.,Balanus,,HigherOrder,Thecostraca,Balanomorpha,Balanidae,,,,,worms
Balanus balanus,Balanus balanus,Rough barnacle,Species,Thecostraca,Balanomorpha,Balanidae,"WoRMS (2022). Balanus balanus (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106213 on 2022-12-01","(Linnaeus, 1758)",106213,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106213,WORMS
Balanus glandula,Balanus glandula,,Species,Thecostraca,Balanomorpha,Balanidae,"WoRMS (2022). Balanus glandula Darwin, 1854. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=394848 on 2022-12-19","Darwin, 1854",394848,https://www.marinespecies.org/aphia.php?p=taxdetails&id=394848,WORMS
Balanus nubilis,Balanus nubilus,,Species,Thecostraca,Balanomorpha,Balanidae,"WoRMS (2022). Balanus nubilus Darwin, 1854. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=594745 on 2022-12-00","Darwin, 1853",594744,https://www.marinespecies.org/aphia.php?p=taxdetails&id=594744,WORMS
Balanus nubilus,Balanus nubilus,,Species,Thecostraca,Balanomorpha,Balanidae,"WoRMS (2022). Balanus nubilus Darwin, 1854. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=594745 on 2022-12-01","Darwin, 1854",594745,https://www.marinespecies.org/aphia.php?p=taxdetails&id=594745,WORMS
Balanus rostratus,Balanus rostratus,Rostrate barnacle,Species,Thecostraca,Balanomorpha,Balanidae,"WoRMS (2022). Balanus rostratus Hoek, 1883. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254482 on 2022-12-01","Hoek, 1883",254482,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254482,WORMS
Balamus trigonus,Balanus trigonus,,Species,,,,,,,,WORMS
Hemanthias vivanus,Baldwinella vivanus,Red barbier,Species,Actinopteri,Perciformes,Serranidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Hemanthias vivanus (Jordan & Swain, 1885). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159226 on 2022-12-01","(Jordan & Swain, 1885)",1019849,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159226,WORMS
Balistes capriscus,Balistes capriscus,Gray triggerfish,Species,Actinopteri,Tetraodontiformes,Balistidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Balistes capriscus Gmelin, 1789. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154721 on 2022-12-01","Gmelin, 1789",154721,https://www.marinespecies.org/aphia.php?p=taxdetails&id=154721,WORMS
Balistes vetula,Balistes vetula,Queen triggerfish,Species,Actinopteri,Tetraodontiformes,Balistidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Balistes vetula Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127397 on 2022-12-01","Linnaeus, 1758",127397,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127397,WORMS
Balistidae,Balistidae,,HigherOrder,,,,,,,,worms
Balticina,Balticina,,HigherOrder,Anthozoa,Scleralcyonacea,Balticinidae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Balticina Gray, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534 on 2023-01-31","Gray, 1870",146534,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534,worms
Balticina sp.,Balticina,,HigherOrder,Anthozoa,Scleralcyonacea,Balticinidae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Balticina Gray, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534 on 2023-01-31","Gray, 1870",146534,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534,worms
Halipteris,Balticina,,HigherOrder,Anthozoa,Scleralcyonacea,Halipteridae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Balticina Gray, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534 on 2023-01-32","Gray, 1871",146535,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146535,worms
Halipteris sp.,Balticina,,HigherOrder,Anthozoa,Scleralcyonacea,Halipteridae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Balticina Gray, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534 on 2023-01-33","Gray, 1872",146536,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146536,worms
Halipteris sp. (deepsea),Balticina,,HigherOrder,Anthozoa,Scleralcyonacea,Halipteridae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Balticina Gray, 1870. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146534 on 2023-01-34","Gray, 1873",146537,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146537,worms
